formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
NaNiCl3,3.183391590840257,3.323401871576774,3.4634121523132904,,1.39,1.35,1.0,0.93,1.91,3.16,0.5,1.1571612,3.61272528,0.7191426412918502,1.35,36.641825427766,8.52191896488606,1.2500000000000002,1.35,0.0421286038062226,0.9312270738998788,-2.929976190655006,0.1431434522633621,0,Ni,1,0.0
NaNiF3,2.507350826831692,2.616295090390226,2.72523935394876,,1.39,1.35,0.5,0.93,1.91,3.98,0.5,1.1571612,3.401189824,0.7223955764554457,2.7,17.87748747303376,12.881354211695516,2.0700000000000003,2.7,0.041640663531683,1.2935981984475118,-3.5615173387481978,0.2860194510505029,0,Ni,1,0.0
NaNiO3,2.642558979633405,2.757716446627536,2.8728739136216666,,1.39,1.35,0.6,0.93,1.91,3.44,0.5,1.1571612,1.461112979,0.7216115356724252,2.2500000000000004,20.935862830872345,10.285987024137205,1.53,2.2500000000000004,0.0417582696491363,1.1592464810192804,-3.43520910912956,0.2574442512930751,0,Ni,1,0.0
NaNiS3,3.183391590840257,3.323401871576774,3.4634121523132904,,1.39,1.35,1.0,0.93,1.91,2.58,0.5,1.1571612,2.07710426,0.7191426412918502,1.35,36.641825427766,8.061294708684638,0.6700000000000002,1.35,0.0421286038062226,0.9312270738998788,-2.929976190655006,0.1431434522633621,0,Ni,1,0.0
NaNiSe3,3.386203820042827,3.5355339059327378,3.684863991822649,,1.39,1.35,1.15,0.93,1.91,2.55,0.5,1.1571612,2.020604712,0.7184204896855323,1.173913043478261,44.115333275796544,11.991271817741184,0.6399999999999999,1.173913043478261,0.0422369265471702,0.9218420251970486,-2.740513846227049,0.1002806526272195,0,Ni,1,0.0
NaCuI3,3.7242242020471097,3.889087296526012,4.053950391004913,,1.39,1.35,1.4,0.93,1.9,2.66,0.5,1.235784,3.059046537,0.7173919707310791,0.9642857142857144,58.716740589796935,13.21435155088546,0.7600000000000002,0.9642857142857144,0.0423912043903381,0.9543719502139498,-2.4247432721804527,0.0288426532336489,0,Cu,1,0.0
NaCuBr3,3.386203820042827,3.5355339059327378,3.684863991822649,,1.39,1.35,1.15,0.93,1.9,2.96,0.5,1.235784,3.3635883,0.7184204896855323,1.173913043478261,44.115333275796544,12.280533528750908,1.06,1.173913043478261,0.0422369265471702,0.9218420251970486,-2.740513846227049,0.1002806526272195,0,Cu,1,0.0
NaCuCl3,3.183391590840257,3.323401871576774,3.4634121523132904,,1.39,1.35,1.0,0.93,1.9,3.16,0.5,1.235784,3.61272528,0.7191426412918502,1.35,36.641825427766,8.741834870596708,1.2600000000000002,1.35,0.0421286038062226,0.9312270738998788,-2.929976190655006,0.1431434522633621,0,Cu,1,0.0
NaCuF3,2.507350826831692,2.616295090390226,2.72523935394876,,1.39,1.35,0.5,0.93,1.9,3.98,0.5,1.235784,3.401189824,0.7223955764554457,2.7,17.87748747303376,13.33209541556957,2.08,2.7,0.041640663531683,1.2935981984475118,-3.5615173387481978,0.2860194510505029,0,Cu,1,0.0
NaCuO3,2.642558979633405,2.757716446627536,2.8728739136216666,,1.39,1.35,0.6,0.93,1.9,3.44,0.5,1.235784,1.461112979,0.7216115356724252,2.2500000000000004,20.935862830872345,10.670882563954937,1.54,2.2500000000000004,0.0417582696491363,1.1592464810192804,-3.43520910912956,0.2574442512930751,0,Cu,1,0.0
