formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
CsFeI3,Cs,Fe,I,1.88,0.64,2.2,0.79,1.83,2.66,0.47,0.15,3.05,1.015843544803209,0.2909090909090909,183.25043200000005,5.15978617447316,0.8300000000000001,0.2909090909090909,2.8400000000000003,0.12398333663955562,0.2955181221245699,0.0,0.6,0.0,0.0,0,0
CsFeBr3,Cs,Fe,Br,1.88,0.64,1.96,0.79,1.83,2.96,0.47,0.15,3.36,1.0443423229832085,0.326530612244898,140.608,5.059396081761806,1.13,0.326530612244898,2.6,0.14792899408284022,0.34100973811696605,0.0,0.6,0.0,0.0,0,0
CsFeCl3,Cs,Fe,Cl,1.88,0.64,1.81,0.79,1.83,3.16,0.47,0.15,3.61,1.0649893969707593,0.35359116022099446,117.64900000000003,4.1624188657546055,1.33,0.35359116022099446,2.45,0.16659725114535606,0.37657083649794804,0.0,0.6,0.0,0.0,0,0
CsFeF3,Cs,Fe,F,1.88,0.64,1.33,0.79,1.83,3.98,0.47,0.15,3.4,1.1521892221364554,0.48120300751879697,61.162984000000016,6.662621497057498,2.15,0.48120300751879697,1.9700000000000002,0.2576721894405936,0.5544369189228056,0.0,0.6,0.0,0.0,0,0
CsFeO3,Cs,Fe,O,1.88,0.64,1.4,0.79,1.83,3.44,0.47,0.15,1.46,1.1369167854371938,0.4571428571428572,67.91731200000001,5.787313615370865,1.6099999999999999,0.4571428571428572,2.04,0.24029219530949636,0.5197333876284315,0.0,0.6,0.0,0.0,0,0
RbPbI3,Rb,Pb,I,1.72,1.19,2.2,0.82,2.33,2.66,0.48,0.36,3.05,0.8176573988941788,0.5409090909090909,311.66575200000005,3.5873915570498633,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.44227832031094216,0.0,0.6,0.0,0.0,1,0
RbPbBr3,Rb,Pb,Br,1.72,1.19,1.96,0.82,2.33,2.96,0.48,0.36,3.36,0.8260803031004745,0.6071428571428571,250.04699999999997,3.535037837330289,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.5015487554538595,0.0,0.6,0.0,0.0,1,0
RbPbCl3,Rb,Pb,Cl,1.72,1.19,1.81,0.82,2.33,3.16,0.48,0.36,3.61,0.8320289791961709,0.6574585635359116,216.0,3.0659187915913257,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.5470245774825654,0.0,0.6,0.0,0.0,1,0
RbPbF3,Rb,Pb,F,1.72,1.19,1.33,0.82,2.33,3.98,0.48,0.36,3.4,0.8558236835789562,0.894736842105263,128.024064,4.530709584950736,1.65,0.894736842105263,2.52,0.15747039556563364,0.7657369800443291,0.0,0.6,0.0,0.0,0,0
RbPbO3,Rb,Pb,O,1.72,1.19,1.4,0.82,2.33,3.44,0.48,0.36,1.46,0.8518043078386209,0.85,138.991832,4.069252258676278,1.1099999999999999,0.85,2.59,0.14907350814686723,0.7240336616628278,0.0,0.6,0.0,0.0,0,0
