formula,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KMgBr3,,1.64,1.5,1.15,0.82,1.31,2.96,0.5,-0.42,3.3635883,0.7444633658530067,1.3043478260869565,3.6040160492453968,3.747665940288702,3.891315831332007,52.55863395336881,9.576857782307782
KMgCl3,,1.64,1.5,1.0,0.82,1.31,3.16,0.5,-0.42,3.61272528,0.7467047609329941,1.5,3.4012038200428267,3.5355339059327378,3.6698639918226483,44.13037662812289,6.387969964558603
KMgF3,,1.64,1.5,0.5,0.82,1.31,3.98,0.5,-0.42,3.401189824,0.7566042558696057,3.0,2.7251630560342615,2.8284271247461903,2.9316911934581187,22.597256156154234,8.847583112652897
KMgO3,,1.64,1.5,0.6,0.82,1.31,3.44,0.5,-0.42,1.461112979,0.7542472332656506,2.5,2.860371208835975,2.9698484809835,3.079325753131025,26.158469157114187,7.071930154266803
KMgS3,,1.64,1.5,1.0,0.82,1.31,2.58,0.5,-0.42,2.07710426,0.7467047609329941,1.5,3.4012038200428267,3.5355339059327378,3.6698639918226483,44.13037662812289,6.005509743886677
KMgSe3,,1.64,1.5,1.15,0.82,1.31,2.55,0.5,-0.42,2.020604712,0.7444633658530067,1.3043478260869565,3.6040160492453968,3.747665940288702,3.891315831332007,52.55863395336881,9.487381397448635
KMnI3,,1.64,1.4,1.4,0.82,1.55,2.66,0.5,-0.52,3.059046537,0.7677159338596802,1.0,3.8218282784479665,3.9597979746446663,4.097767670841366,62.01425496531802,12.712543957075452
KMnBr3,,1.64,1.4,1.15,0.82,1.55,2.96,0.5,-0.52,3.3635883,0.7736580076511638,1.2173913043478262,3.483807896443684,3.6062445840513924,3.728681271659101,46.84515053173654,11.830789596590988
KMnCl3,,1.64,1.4,1.0,0.82,1.55,3.16,0.5,-0.52,3.61272528,0.7778174593052022,1.4,3.280995667241114,3.394112549695428,3.5072294321497424,39.05674744601724,8.520219914443063
KMnF3,,1.64,1.4,0.5,0.82,1.55,3.98,0.5,-0.52,3.401189824,0.7964255324943218,2.8,2.6049549032325485,2.6870057685088806,2.7690566337852127,19.382091800146927,12.939762204376827
KMnO3,,1.64,1.4,0.6,0.82,1.55,3.44,0.5,-0.52,1.461112979,0.7919595949289331,2.3333333333333335,2.7401630560342616,2.8284271247461903,2.916691193458119,22.605382006839868,10.433772970884087
KMnS3,,1.64,1.4,1.0,0.82,1.55,2.58,0.5,-0.52,2.07710426,0.7778174593052022,1.4,3.280995667241114,3.394112549695428,3.5072294321497424,39.05674744601724,8.088076566949638
KMnSe3,,1.64,1.4,1.15,0.82,1.55,2.55,0.5,-0.52,2.020604712,0.7736580076511638,1.2173913043478262,3.483807896443684,3.6062445840513924,3.728681271659101,46.84515053173654,11.730400196495099
KFeI3,,1.64,1.4,1.4,0.82,1.83,2.66,0.5,0.15323635,3.059046537,0.7677159338596802,1.0,3.8218282784479665,3.9597979746446663,4.097767670841366,62.01425496531802,12.736829815431689
KFeBr3,,1.64,1.4,1.15,0.82,1.83,2.96,0.5,0.15323635,3.3635883,0.7736580076511638,1.2173913043478262,3.483807896443684,3.6062445840513924,3.728681271659101,46.84515053173654,11.862939550109338
KFeCl3,,1.64,1.4,1.0,0.82,1.83,3.16,0.5,0.15323635,3.61272528,0.7778174593052022,1.4,3.280995667241114,3.394112549695428,3.5072294321497424,39.05674744601724,8.55878097010283
KFeF3,,1.64,1.4,0.5,0.82,1.83,3.98,0.5,0.15323635,3.401189824,0.7964255324943218,2.8,2.6049549032325485,2.6870057685088806,2.7690566337852127,19.382091800146927,13.017466377264089
KFeO3,,1.64,1.4,0.6,0.82,1.83,3.44,0.5,0.15323635,1.461112979,0.7919595949289331,2.3333333333333335,2.7401630560342616,2.8284271247461903,2.916691193458119,22.605382006839868,10.500397344305412
KFeS3,,1.64,1.4,1.0,0.82,1.83,2.58,0.5,0.15323635,2.07710426,0.7778174593052022,1.4,3.280995667241114,3.394112549695428,3.5072294321497424,39.05674744601724,8.126637622609408
KFeSe3,,1.64,1.4,1.15,0.82,1.83,2.55,0.5,0.15323635,2.020604712,0.7736580076511638,1.2173913043478262,3.483807896443684,3.6062445840513924,3.728681271659101,46.84515053173654,11.76255015001345
KCoI3,,1.64,1.35,1.4,0.82,1.88,2.66,0.5,0.66225547,3.059046537,0.7816744053844016,0.9642857142857144,3.76172420204711,3.8890872965260117,4.016450391004914,58.7593590832665,13.529643827581763
KCoBr3,,1.64,1.35,1.15,0.82,1.88,2.96,0.5,0.66225547,3.3635883,0.789131167804187,1.173913043478261,3.423703820042827,3.5355339059327378,3.6473639918226484,44.149958549879294,12.70328208008766
KCoCl3,,1.64,1.35,1.0,0.82,1.88,3.16,0.5,0.66225547,3.61272528,0.7943667669499936,1.35,3.2208915908402576,3.323401871576774,3.4259121523132903,36.67205017606207,9.25517753916486
KCoF3,,1.64,1.35,0.5,0.82,1.88,3.98,0.5,0.66225547,3.401189824,0.8179505468860602,2.7,2.544850826831692,2.616295090390226,2.6877393539487597,17.895185583703473,14.385652243440637
KCoO3,,1.64,1.35,0.6,0.82,1.88,3.44,0.5,0.66225547,1.461112979,0.8122662512091621,2.2500000000000004,2.6800589796334053,2.7577164466275357,2.8353739136216665,20.955802665170403,11.571672313186989
KCoS3,,1.64,1.35,1.0,0.82,1.88,2.58,0.5,0.66225547,2.07710426,0.7943667669499936,1.35,3.2208915908402576,3.323401871576774,3.4259121523132903,36.67205017606207,8.794932925010606
KCoSe3,,1.64,1.35,1.15,0.82,1.88,2.55,0.5,0.66225547,2.020604712,0.789131167804187,1.173913043478261,3.423703820042827,3.5355339059327378,3.6473639918226484,44.149958549879294,12.596764277721672
KNiI3,,1.64,1.35,1.4,0.82,1.91,2.66,0.5,1.1571612,3.059046537,0.7816744053844016,0.9642857142857144,3.76172420204711,3.8890872965260117,4.016450391004914,58.7593590832665,13.522867064199529
KNiBr3,,1.64,1.35,1.15,0.82,1.91,2.96,0.5,1.1571612,3.3635883,0.789131167804187,1.173913043478261,3.423703820042827,3.5355339059327378,3.6473639918226484,44.149958549879294,12.694262858188523
KNiCl3,,1.64,1.35,1.0,0.82,1.91,3.16,0.5,1.1571612,3.61272528,0.7943667669499936,1.35,3.2208915908402576,3.323401871576774,3.4259121523132903,36.67205017606207,9.244319180521499
KNiF3,,1.64,1.35,0.5,0.82,1.91,3.98,0.5,1.1571612,3.401189824,0.8179505468860602,2.7,2.544850826831692,2.616295090390226,2.6877393539487597,17.895185583703473,14.363400545008313
KNiO3,,1.64,1.35,0.6,0.82,1.91,3.44,0.5,1.1571612,1.461112979,0.8122662512091621,2.2500000000000004,2.6800589796334053,2.7577164466275357,2.8353739136216665,20.955802665170403,11.552670498779714
KNiS3,,1.64,1.35,1.0,0.82,1.91,2.58,0.5,1.1571612,2.07710426,0.7943667669499936,1.35,3.2208915908402576,3.323401871576774,3.4259121523132903,36.67205017606207,8.784074566367245
KNiSe3,,1.64,1.35,1.15,0.82,1.91,2.55,0.5,1.1571612,2.020604712,0.789131167804187,1.173913043478261,3.423703820042827,3.5355339059327378,3.6473639918226484,44.149958549879294,12.587745055822536
KCuI3,,1.64,1.35,1.4,0.82,1.9,2.66,0.5,1.235784,3.059046537,0.7816744053844016,0.9642857142857144,3.76172420204711,3.8890872965260117,4.016450391004914,58.7593590832665,13.660004710892025
KCuBr3,,1.64,1.35,1.15,0.82,1.9,2.96,0.5,1.235784,3.3635883,0.789131167804187,1.173913043478261,3.423703820042827,3.5355339059327378,3.6473639918226484,44.149958549879294,12.876779908951658
KCuCl3,,1.64,1.35,1.0,0.82,1.9,3.16,0.5,1.235784,3.61272528,0.7943667669499936,1.35,3.2208915908402576,3.323401871576774,3.4259121523132903,36.67205017606207,9.464053833674287
KCuF3,,1.64,1.35,0.5,0.82,1.9,3.98,0.5,1.235784,3.401189824,0.8179505468860602,2.7,2.544850826831692,2.616295090390226,2.6877393539487597,17.895185583703473,14.813695971571356
KCuO3,,1.64,1.35,0.6,0.82,1.9,3.44,0.5,1.235784,1.461112979,0.8122662512091621,2.2500000000000004,2.6800589796334053,2.7577164466275357,2.8353739136216665,20.955802665170403,11.937199803363765
KCuS3,,1.64,1.35,1.0,0.82,1.9,2.58,0.5,1.235784,2.07710426,0.7943667669499936,1.35,3.2208915908402576,3.323401871576774,3.4259121523132903,36.67205017606207,9.003809219520033
