formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,Model_Predicted_BG,Error
AlCoO3,6.367889677,6.367889677,5.030233599,0.8272,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,199.7340156,4.453275665,1.83,0.535714286,0.130411269,0.141816834,0.232728609,-0.908311927,0,Other,1,1,1.6887850408131115,0.8615850408131115
AlCrO3,5.019513,5.052393,7.532182,1.8029,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.804067118,0.535714286,191.0202959,4.415202888,1.83,0.535714286,0.245617765,0.1565533,-0.356783094,0.300909842,1,Other,1,1,1.8657130166307547,0.06281301663075478
AlCrO3,5.515928196,5.515928196,11.631256,1.1578,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.804067118,0.535714286,306.4745698,4.127879334,1.83,0.535714286,0.467369983,0.097576963,0.649809073,1.042068143,1,Other,1,1,1.8973463599724414,0.7395463599724414
AlCuO3,5.287445213,5.287445213,5.287445411,0.1349,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,93.92117846,4.898307377,1.83,0.535714286,2.16e-08,0.305951021,-0.526807794,-0.350667227,0,Other,1,1,1.8607960587815937,1.7258960587815937
AlCuO3,6.781667,4.709123,6.232749403,0.35,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,198.4287606,4.636977018,1.83,0.535714286,0.181757069,0.14481409,-0.029653815,-0.710824057,0,Other,1,1,1.7047825388005309,1.354782538800531
AlFeO3,4.868112,5.121179,7.339769,2.1089,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,182.9839124,4.748823794,1.83,0.535714286,0.235417973,0.158598211,-0.41876608,0.314076706,0,Other,1,1,1.8615291914387164,-0.2473708085612838
AlFeO3,4.886171,4.935838,7.438778,1.3295,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,179.4036014,4.843594836,1.83,0.535714286,0.253688661,0.161763314,-0.464238614,0.33934149,0,Other,1,1,1.890844679762447,0.5613446797624471
AlFeO3,4.963586851,4.963348703,9.494494209,2.1792,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,193.1252097,4.499455863,1.83,0.535714286,0.404088066,0.150269979,-0.098751071,0.791606843,0,Other,1,1,1.7140230742157685,-0.4651769257842313
AlFeO3,4.974753428,4.999717351,7.945401365,0.6687,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,197.5586951,4.398481965,1.83,0.535714286,0.285930087,0.146897716,-0.327225926,0.419456295,0,Other,1,1,1.8669175633925725,1.1982175633925727
AlFeO3,4.982350367,5.00152093,7.943456491,1.3608,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,197.9087281,4.390702551,1.83,0.535714286,0.285166032,0.146637904,-0.324031059,0.415793476,0,Other,1,1,1.8669175633925725,0.5061175633925725
AlFeO3,5.044116,8.669206,9.376979,1.9962,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,410.0410451,4.238396949,1.83,0.535714286,0.301991851,0.070775649,1.271395871,0.545135005,0,Other,1,1,1.929540442682773,-0.06665955731722706
AlGaO3,4.889231,5.009529,7.448018,3.0761,0.76,0.675,1.26,1.81,1.61,3.44,0.30116615,0.432835,1.461112979,0.738279808,0.535714286,182.4224018,5.268750946,1.83,0.535714286,0.249702176,0.154939819,-0.43460913,0.336575991,0,Other,1,1,1.8957986838407668,-1.180301316159233
AlGaO3,4.995092,8.625028,9.159761,3.4264,0.76,0.675,1.26,1.81,1.61,3.44,0.30116615,0.432835,1.461112979,0.738279808,0.535714286,394.6282278,4.871107205,1.83,0.535714286,0.298413024,0.071623092,1.202363247,0.516152419,0,Other,1,1,1.9399573345991576,-1.4864426654008425
AlGaO3,5.001676,8.601477,9.277844,3.5313,0.76,0.675,1.26,1.81,1.61,3.44,0.30116615,0.432835,1.461112979,0.738279808,0.535714286,399.149559,4.815930171,1.83,0.535714286,0.301378061,0.070811788,1.21494309,0.542514819,0,Other,1,1,1.9399573345991576,-1.5913426654008422
AlInO3,3.283820397,3.283820397,12.023484,2.162,0.94,0.675,1.26,1.78,1.61,3.44,0.299,0.432835,1.461112979,0.804067118,0.535714286,112.2844765,5.613715616,1.83,0.535714286,0.814234833,0.266331185,-0.941425746,2.161261085,1,Other,1,1,1.8225383853634427,-0.3394616146365572
AlInS3,6.771139126,6.770227804,17.96964451,2.0813,0.94,0.675,0.88,1.78,1.61,2.58,0.299,0.432835,2.07710426,0.827735507,0.767045455,713.3884529,3.323848829,0.97,0.767045455,0.615567977,0.018686903,2.585818397,1.961358984,1,Other,1,1,2.3289885862538626,0.24768858625386247
AlInSe3,7.074358422,7.068211916,18.84396187,1.6333,0.94,0.675,1.013333333,1.78,1.61,2.55,0.299,0.432835,2.020604712,0.818217487,0.666118421,815.5387503,4.62623389,0.94,0.666118421,0.618157621,0.021878971,2.947356593,2.028598063,1,Other,1,1,2.2891529343394295,0.6558529343394295
AlMoO3,5.194591,5.221372,8.205346,1.4177,0.775,0.675,1.26,2.16,1.61,3.44,0.747238,0.432835,1.461112979,0.743762084,0.535714286,222.5527134,5.10115377,1.83,0.535714286,0.278806555,0.127500274,-0.12242907,0.379632885,0,Other,1,1,1.9317919961369432,0.5140919961369432
AlMoO3,5.546971423,5.546971423,12.040976,0.7348,0.775,0.675,1.26,2.16,1.61,3.44,0.747238,0.432835,1.461112979,0.743762084,0.535714286,320.8516002,5.307479902,1.83,0.535714286,0.486189122,0.088438181,0.737866621,1.124528621,0,Other,1,1,1.8728789070712064,1.1380789070712063
AlRhO3,3.117126484,3.117126484,11.75262546,1.7659,0.745,0.675,1.26,2.28,1.61,3.44,1.142892,0.432835,1.461112979,0.732797532,0.535714286,98.8950114,5.973716649,1.83,0.535714286,0.831557462,0.2847237,-1.107921296,2.173974888,0,Other,1,1,1.82257884110373,0.056678841103730004
AlSBr3,7.934782186,7.934782186,6.968014,0.1479,0.88,0.675,0.8825,2.58,1.61,2.96,2.07710426,0.432835,3.3635883,0.80029787,0.764872521,379.9353112,2.61149838,1.35,0.764872521,0.073321768,0.033636293,1.701171534,-1.171429305,1,Other,1,1,1.72090099729648,1.57300099729648
AlSbO3,3.753959,3.753959,3.753959,1.1346,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,52.9015717,6.175506916,1.83,0.535714286,0.0,0.544800662,-1.906304256,-0.007457308,0,Other,1,1,2.0179223396875625,0.8833223396875625
AlSbO3,5.503217172,5.118104501,11.5303107,3.9107,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,324.7624693,4.023790342,1.83,0.535714286,0.487017232,0.088744279,0.483169678,1.043380778,0,Other,1,1,1.8128624856128193,-2.0978375143871806
AlSbO3,5.67946391,5.67946391,13.101949,1.2462,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,366.0001212,5.35563793,1.83,0.535714286,0.525578923,0.07874536,1.004491655,1.314096274,0,Other,1,1,1.89277722842961,0.6465772284296101
AlSiP3,5.89959,6.142514,9.906489,0.2886,0.675,0.54,0.55,1.61,1.9,2.19,0.432835,1.38952128,0.74660911,0.794804251,0.981818182,358.9944607,2.738096782,0.29,0.981818182,0.30706442,0.011249652,0.749201442,0.446211189,0,Other,1,1,2.432293660520904,2.1436936605209036
AlSiTe3,6.88931547,6.88931598,7.41726321,1.2504,0.675,0.54,1.293333333,1.61,1.9,2.1,0.432835,1.38952128,1.9708757,0.759290215,0.417525773,304.8783184,4.769741105,0.2,0.417525773,0.043141933,0.095558059,0.998040807,-0.584530112,0,Other,1,1,2.563230054307923,1.312830054307923
AlTlO3,5.25126,5.360468,7.612391,1.2082,1.3325,0.675,1.26,1.62,1.61,3.44,0.32005319,0.432835,1.461112979,0.947520001,0.535714286,214.2828019,8.659458159,1.83,0.535714286,0.219400401,0.169570746,-0.144386918,0.209437992,1,Other,1,1,1.8492889615169155,0.6410889615169155
AlVO3,4.881115205,9.448927602,4.881240366,1.569,0.7775,0.675,1.26,1.63,1.61,3.44,0.527662,0.432835,1.461112979,0.744675796,0.535714286,186.1127753,4.493987814,1.83,0.535714286,0.411819174,0.152565895,0.782380211,-0.488619854,0,Other,1,1,1.7847660101697942,0.21576601016979424
AlVO3,5.036054,5.052761,7.862989,1.6792,0.7775,0.675,1.26,1.63,1.61,3.44,0.527662,0.432835,1.461112979,0.744675796,0.535714286,200.0814392,4.180240544,1.83,0.535714286,0.271949866,0.141914523,-0.297929035,0.372218762,0,Other,1,1,1.8774792516499745,0.1982792516499745
AlWN3,6.041277348,5.536363468,11.22075316,1.5971,0.766666667,0.675,0.63,2.36,1.61,3.04,0.81650082,0.432835,-0.07,0.756890139,1.071428571,337.3770937,4.977853286,1.43,1.071428571,0.414012422,0.018726896,0.788679539,0.728832854,0,Other,1,1,2.138541986429083,0.5414419864290829
AlWO3,4.870761,5.936013,8.690316,0.8599,0.766666667,0.675,1.26,2.36,1.61,3.44,0.81650082,0.432835,1.461112979,0.740716375,0.535714286,251.2622428,6.841939836,1.83,0.535714286,0.30328189,0.112684294,0.095426181,0.591028205,0,Other,1,1,1.9642533357979437,1.1043533357979438
AlWO3,5.603850469,5.603850469,11.993558,0.5902,0.766666667,0.675,1.26,2.36,1.61,3.44,0.81650082,0.432835,1.461112979,0.740716375,0.535714286,326.1757905,7.905803552,1.83,0.535714286,0.477012826,0.086803832,0.772472228,1.087173234,0,Other,1,1,1.8728789070712064,1.2826789070712064
AsCF3,10.713548,10.713548,6.487277,3.3193,0.66,0.3,0.705,2.18,2.55,3.98,0.8044863,1.262122611,3.401189824,0.960543816,0.425531915,744.6103725,2.56775636,1.43,0.425531915,0.262234659,0.007682739,3.683309255,-2.562937362,1,Other,1,1,2.4815239337995574,-0.8377760662004428
BMoN3,10.23183148,5.675402438,8.672908339,1.0201,0.775,0.41,0.63,2.16,2.04,3.04,0.747238,0.27972325,-0.07,0.955418344,0.650793651,309.5160734,3.192599606,1.0,0.650793651,0.282637304,0.017384219,2.003002994,-1.59699205,1,Other,1,1,2.2356234546710474,1.2155234546710474
BSbO3,3.520705,3.520705,3.520705,1.4054,0.83,0.41,1.26,2.05,2.04,3.44,1.04740119,0.27972325,1.461112979,0.885075676,0.325396825,43.64041894,6.870745471,1.4,0.325396825,0.0,0.63751124,-2.116135331,0.044747333,1,Other,1,1,2.107811081936799,0.702411081936799
BSbO3,4.84604,6.047189486,6.220887138,3.762,0.83,0.41,1.26,2.05,2.04,3.44,1.04740119,0.27972325,1.461112979,0.885075676,0.325396825,155.7272771,3.850863079,1.4,0.325396825,0.131239127,0.178653721,-0.265193432,0.012537446,1,Other,1,1,1.9807899101250017,-1.7812100898749983
BSbO3,5.020640339,5.020640339,13.02491185,3.7211,0.83,0.41,1.26,2.05,2.04,3.44,1.04740119,0.27972325,1.461112979,0.885075676,0.325396825,313.2766235,3.828465813,1.4,0.325396825,0.60104436,0.088807321,0.504210128,1.598911654,1,Other,1,1,1.955122409117762,-1.765977590882238
Ba3BiN,7.72798537,7.727984757,6.77933811,0.6466,1.035,0.63,1.49,2.02,3.04,0.89,0.94236213,-0.07,0.144626,0.842318059,0.422818792,350.6311547,6.014236453,2.15,0.422818792,0.073896197,0.134786922,1.518018134,-1.120867543,1,Other,1,1,1.916448558848145,1.2698485588481452
Ba3SbAs,6.217785,6.217785,6.217785,0.1487,0.83,0.66,1.49,2.05,2.18,0.89,1.04740119,0.8044863,0.144626,0.763132792,0.44295302,240.3848551,4.204541194,1.29,0.44295302,0.0,0.187899813,0.310109002,-0.558886874,0,Other,1,1,2.0856054660817085,1.9369054660817084
Ba3SbN,7.62952326,7.629524376,6.73699565,0.4555,0.83,0.63,1.49,2.05,3.04,0.89,1.04740119,-0.07,0.144626,0.773931841,0.422818792,339.6188492,5.356336708,2.15,0.422818792,0.07028101,0.132535056,1.438355504,-1.085580551,0,Other,1,1,1.9362379484009922,1.4807379484009922
Ba3SbP,6.113177,6.113177,6.113177,0.2992,0.83,0.55,1.49,2.05,2.19,0.89,1.04740119,0.74660911,0.144626,0.804282109,0.369127517,228.4551283,4.1046613,1.3,0.369127517,0.0,0.195490989,0.21600554,-0.535474529,1,Other,1,1,2.116446666665225,1.8172466666652252
BaBiO3,4.331788,6.284164336,7.579851987,0.1011,1.49,1.035,1.26,0.89,2.02,3.44,0.144626,0.94236213,1.461112979,0.847423678,0.821428571,194.2178691,6.742529469,1.42,0.821428571,0.269577298,0.224685593,-0.1549275,0.532263214,1,Other,1,1,2.042560167732623,1.9414601677326229
BaCeO3,4.474193,4.474193,4.474193,2.299,1.49,1.08,1.26,0.89,1.12,3.44,0.144626,0.60016027,1.461112979,0.831127069,0.857142857,89.56619858,6.033613518,2.32,0.857142857,0.0,0.494276195,-1.25839479,-0.168653075,1,Other,1,1,1.9292926096401226,-0.3697073903598773
BaCeO3,6.209312551,6.209312551,6.209312818,2.2279,1.49,1.08,1.26,0.89,1.12,3.44,0.144626,0.60016027,1.461112979,0.831127069,0.857142857,172.4445509,6.267612674,2.32,0.857142857,2.48e-08,0.256722753,0.302487383,-0.55699059,1,Other,1,1,1.6867978993230974,-0.5411021006769026
BaCeO3,6.230307604,6.235577713,6.235577655,2.2112,1.49,1.08,1.26,0.89,1.12,3.44,0.144626,0.60016027,1.461112979,0.831127069,0.857142857,172.2671111,6.274068486,2.32,0.857142857,0.000488093,0.256987184,0.324143141,-0.560709385,1,Other,1,1,1.6867978993230974,-0.5244021006769024
BaCeO3,6.25973589,6.24763379,8.81258554,2.2207,1.49,1.08,1.26,0.89,1.12,3.44,0.144626,0.60016027,1.461112979,0.831127069,0.857142857,344.6473317,6.272009405,2.32,0.857142857,0.207888954,0.128451422,0.748787641,0.035076504,1,Other,1,1,1.588585250061112,-0.6321147499388879
BaCoO3,5.726482658,5.722637803,9.707627869,1.1424,1.49,0.768333333,1.26,0.89,1.88,3.44,0.144626,0.66225547,1.461112979,0.958835172,0.60978836,275.3943445,5.891197337,1.56,0.60978836,0.326084038,0.148491432,0.498914893,0.49124094,1,Other,1,1,1.6769609261697032,0.5345609261697031
BaGeO3,4.64225534,5.75213457,12.94668869,3.5519,1.49,0.77,1.26,0.89,2.01,3.44,0.144626,1.232676413,1.461112979,0.958047951,0.611111111,345.7138411,4.956252732,1.43,0.611111111,0.579466283,0.118323557,0.618400342,1.698845134,1,Ge,1,0,1.5815650675479107,-1.9703349324520891
BaGeO3,7.770673,9.18334896,9.377144299,1.4284,1.49,0.77,1.26,0.89,2.01,3.44,0.144626,1.232676413,1.461112979,0.958047951,0.611111111,567.9852833,4.525060473,1.43,0.611111111,0.099910803,0.072019633,2.48008587,-0.597938329,1,Ge,1,0,1.6517933679203098,0.22339336792030995
BaGeO3,9.103894219,8.584391753,9.003481188,2.2342,1.49,0.77,1.26,0.89,2.01,3.44,0.144626,1.232676413,1.461112979,0.958047951,0.611111111,580.7472411,4.425621979,1.43,0.611111111,0.030971404,0.070436997,2.699990619,-1.202500324,1,Ge,1,0,1.7524910505138687,-0.4817089494861313
BaHfO3,4.170042393,4.169091207,4.170376634,3.5394,1.49,0.85,1.26,0.89,1.3,3.44,0.144626,0.17807,1.461112979,0.921723858,0.674603175,72.50319462,8.332451499,2.14,0.674603175,0.000159942,0.573301791,-1.532298827,-0.100454458,1,Other,1,1,1.5455529618339623,-1.9938470381660378
BaHfS3,3.883518,8.803535,14.515039,0.8665,1.49,0.85,0.88,0.89,1.3,2.58,0.144626,0.17807,2.07710426,0.968841723,0.965909091,496.2501199,5.514654764,1.28,0.965909091,0.586793314,0.050362456,1.702290996,2.22714931,1,Other,1,1,2.0703294550468296,1.2038294550468296
