formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,volume,density,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
KGeBr3,K,Ge,Br,1.64,0.73,1.96,0.82,2.01,2.96,0.5,1.23,3.36,0.946313907907647,0.37244897959183676,0.9500000000000002,0.37244897959183676,2.69,0.13819598955238319,0.3524536493737665,155.72087199999999,3.747263034973642,0.0,0.6,-0.10674233459591495,1.218707236512174,0,0
KGeCl3,K,Ge,Cl,1.64,0.73,1.81,0.82,2.01,3.16,0.5,1.23,3.61,0.9604403130289719,0.4033149171270718,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.3873599052547787,131.09651200000002,2.7601033373966626,0.0,0.6,0.11708492679926175,1.1556608644620439,1,0
KTiI3,K,Ti,I,1.64,0.6,2.2,0.82,1.54,2.66,0.5,0.08,3.05,0.9697464427701221,0.2727272727272727,1.12,0.2727272727272727,2.8000000000000003,0.12755102040816324,0.26447630257366966,175.61600000000004,4.421500416838937,0.0,0.6,-0.42878887756500816,0.7714964008934635,0,4
KTiBr3,K,Ti,Br,1.64,0.6,1.96,0.82,1.54,2.96,0.5,0.08,3.36,0.9943689110435823,0.30612244897959184,1.42,0.30612244897959184,2.56,0.152587890625,0.3043986462378313,134.21772800000002,4.040783166647828,0.0,0.6,-0.07493934273492647,0.686350559103861,0,4
KTiCl3,K,Ti,Cl,1.64,0.6,1.81,0.82,1.54,3.16,0.5,0.08,3.61,1.0122482967193314,0.3314917127071823,1.62,0.3314917127071823,2.41,0.1721733441228629,0.3355519215644192,111.98016800000002,2.863521233875239,0.0,0.6,0.14888791866025025,0.6233041870537308,0,4
MAPbI3,MA,Pb,I,2.17,1.19,2.2,2.55,2.33,2.66,0.1,0.36,3.05,0.9115211309100921,0.5409090909090909,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.49305006626500436,311.66575200000005,3.3028724583621125,0.0,0.6,-0.2951430294386143,0.3473428332711272,1,2
MAPbBr3,MA,Pb,Br,2.17,1.19,1.96,2.55,2.33,2.96,0.1,0.36,3.36,0.9270955575556956,0.6071428571428571,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.5628794456588152,250.04699999999997,3.1804050728864834,0.0,0.6,0.058706505391467156,0.26219699148152475,1,2
MAPbCl3,MA,Pb,Cl,2.17,1.19,1.81,2.55,2.33,3.16,0.1,0.36,3.61,0.938094996374153,0.6574585635359116,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.6167585887763768,216.0,2.6553870376520656,0.0,0.6,0.2825337667866442,0.1991506194313945,1,2
MASnI3,MA,Sn,I,2.17,1.1,2.2,2.55,1.96,2.66,0.1,1.11,3.05,0.936380798116731,0.5,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.4681903990583655,287.4960000000001,3.0693682208376263,0.0,0.6,-0.23583411723601383,-0.09199304865097038,1,3
MASnBr3,MA,Sn,Br,2.17,1.1,1.96,2.55,1.96,2.96,0.1,1.11,3.36,0.9543630739543926,0.5612244897959184,1.0,0.5612244897959184,3.06,0.10679653124866505,0.5356119292601184,229.22092800000001,2.828230434449966,0.0,0.6,0.11801541759406764,-0.17713889044057277,1,3
MASnCl3,MA,Sn,Cl,2.17,1.1,1.81,2.55,1.96,3.16,0.1,1.11,3.61,0.9671082436846937,0.6077348066298343,1.2000000000000002,0.6077348066298343,2.91,0.11809024456489647,0.587745341465836,197.13736800000004,2.1639857627360835,0.0,0.6,0.3418426789892447,-0.24018526249070304,1,3
