formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index
LaNiO3,5.433893398,7.718360475,5.556433748,0.356,1.172,0.74,1.26,1.1,1.91,3.44,0.5575462,1.1571612,1.461112979,0.859971711,0.587301587,232.951691,7.002714214,1.53,0.587301587,0.206057989,0.144142111
LaNiO3,5.46805051,6.687176347,6.686765365,0,1.172,0.74,1.26,1.1,1.91,3.44,0.5575462,1.1571612,1.461112979,0.859971711,0.587301587,230.370326,7.081181615,1.53,0.587301587,0.112049301,0.145757264
LaNiSb3,6.26613721,12.23154896,13.01603827,0,1.172,0.74,0.83,1.1,1.91,2.05,0.5575462,1.1571612,1.04740119,0.901809926,0.891566265,997.6085791,7.495383444,0.14,0.891566265,0.351417654,0.015663427
LaOsN3,3.6794681,5.6701609,6.71104745,0,1.172,0.673,0.63,1.1,2.2,3.04,0.5575462,1.07766124,-0.07,0.978049784,1.068253968,140.0137651,8.803681884,0.84,1.068253968,0.287731641,0.079722871
LaOsN3,3.950555,3.950555,3.950555,0,1.172,0.673,0.63,1.1,2.2,3.04,0.5575462,1.07766124,-0.07,0.978049784,1.068253968,61.65585681,9.996103463,0.84,1.068253968,0,0.181041995
LaOsN3,4.766719,3.836983,7.408526216,0,1.172,0.673,0.63,1.1,2.2,3.04,0.5575462,1.07766124,-0.07,0.978049784,1.068253968,134.4571528,9.167505202,0.84,1.068253968,0.347153811,0.083017519
LaOsN3,5.570318313,5.570318313,5.570318546,0,1.172,0.673,0.63,1.1,2.2,3.04,0.5575462,1.07766124,-0.07,0.978049784,1.068253968,123.0412464,10.01807673,0.84,1.068253968,2.42E-08,0.090719979
LaOsN3,5.574038,5.578766,7.920005,0,1.172,0.673,0.63,1.1,2.2,3.04,0.5575462,1.07766124,-0.07,0.978049784,1.068253968,246.2824846,10.00994163,0.84,1.068253968,0.212828937,0.045323155
LaOsN3,10.249577,4.843738,7.218384987,0.0272,1.172,0.673,0.63,1.1,2.2,3.04,0.5575462,1.07766124,-0.07,0.978049784,1.068253968,339.3684175,7.264297937,0.84,1.068253968,0.364323139,0.032891391
LaPdO3,5.619867201,5.91080386,7.823997522,0,1.172,0.84625,1.26,1.1,2.2,3.44,0.5575462,0.5621412,1.461112979,0.816590349,0.671626984,259.8970232,7.496436967,1.24,0.671626984,0.1856045,0.132434352
LaPtO3,4.089271,4.089271,4.089271,0,1.172,0.805,1.26,1.1,2.28,3.44,0.5575462,2.125105,1.461112979,0.832902384,0.638888889,68.38135117,9.27600052,1.16,0.638888889,0,0.498174931
LaReN3,3.95489279,3.95489279,3.95489279,0,1.172,0.7125,0.63,1.1,1.9,3.04,0.5575462,0.06039664,-0.07,0.9492729,1.130952381,61.85917807,9.855255019,1.14,1.130952381,0,0.184298825
LaReN3,5.374654,7.063151,11.27883928,1.4312,1.172,0.7125,0.63,1.1,1.9,3.04,0.5575462,0.06039664,-0.07,0.9492729,1.130952381,367.7295103,6.631373963,1.14,1.130952381,0.38465397,0.031002608
LaReN3,5.577261499,5.577261499,5.577261327,0,1.172,0.7125,0.63,1.1,1.9,3.04,0.5575462,0.06039664,-0.07,0.9492729,1.130952381,123.4602017,9.87586229,1.14,1.130952381,1.79E-08,0.092342097
LaRhO3,5.50481427,5.76156261,7.90193892,0.594,1.172,0.745,1.26,1.1,2.28,3.44,0.5575462,1.142892,1.461112979,0.857827144,0.591269841,250.6205188,7.680766937,1.16,0.591269841,0.2059867,0.134118261
LaRuO3,5.476499,5.913106,7.92462,0,1.172,0.661,1.26,1.1,2.2,3.44,0.5575462,1.046272,1.461112979,0.895337544,0.524603175,256.6239132,7.453577075,1.24,0.524603175,0.20281894,0.128945476
LaSbSe3,4.118099,11.184008,12.255458,0.9761,1.172,0.83,1.013333333,1.1,2.05,2.55,0.5575462,1.04740119,2.020604712,0.838425356,0.819078947,564.4478173,5.85488093,0.5,0.819078947,0.481324984,0.039355519
LaScO3,4.078908,4.078908,4.078908,2.8177,1.172,0.885,1.26,1.1,1.36,3.44,0.5575462,0.17938023,1.461112979,0.801838426,0.702380952,67.86279299,5.673387094,2.08,0.702380952,0,0.512566986
LaScO3,5.68506091,5.80353077,8.10225831,3.8973,1.172,0.885,1.26,1.1,1.36,3.44,0.5575462,0.17938023,1.461112979,0.801838426,0.702380952,267.3212593,5.761036662,2.08,0.702380952,0.208667569,0.13012144
LaScS3,6.58114518,7.21722551,9.64897414,1.6446,1.172,0.885,0.88,1.1,1.36,2.58,0.5575462,0.17938023,2.07710426,0.822210914,1.005681818,458.3031998,4.058837585,1.22,1.005681818,0.207162165,0.039734374
LaSi3Ir,4.287820485,4.287820148,5.794099692,0,1.172,0.765,0.54,1.1,2.2,1.9,0.5575462,1.56405712,1.38952128,0.927777507,1.416666667,90.77789752,7.598248318,0.3,1.416666667,0.181558772,0.116739256
LaSi3Os,5.838141198,5.838141198,5.838141198,0,1.172,0.673,0.54,1.1,2.2,1.9,0.5575462,1.07766124,1.38952128,0.998144803,1.246296296,91.65861763,7.489241424,0.3,1.246296296,0,0.109088128
LaSi3Rh,5.784972992,5.784972992,5.784972992,0,1.172,0.745,0.54,1.1,2.28,1.9,0.5575462,1.142892,1.38952128,0.942217624,1.37962963,89.96151325,6.018660122,0.38,1.37962963,1.88E-16,0.116206059
LaSi3Ru,5.824062573,5.824062573,5.824062573,0,1.172,0.661,0.54,1.1,2.2,1.9,0.5575462,1.046272,1.38952128,1.00811794,1.224074074,90.64736861,5.939497871,0.3,1.224074074,1.87E-16,0.109564984
LaSmO3,6.030177,6.214502,8.731912,4.2879,1.229,1.172,1.26,1.17,1.1,3.44,0.162,0.5575462,1.461112979,0.723788897,0.93015873,327.2244469,6.845937156,2.34,0.93015873,0.215876868,0.121190625
LaSn3Ru,9.82742301,9.82745436,9.8274554,0,1.172,0.661,0.83,1.1,2.2,1.96,0.5575462,1.046272,1.1120702,0.949591941,0.796385542,949.1214036,8.343349266,0.24,0.796385542,1.87E-06,0.015949818
LaSnO3,4.213459,4.213459,4.213459,0,1.172,0.83,1.26,1.1,1.96,3.44,0.5575462,1.1120702,1.461112979,0.822939437,0.658730159,74.80253514,6.78430801,1.48,0.658730159,0,0.458217704
LaTaN3,5.763247,7.116368,8.332836231,0.6895,1.172,0.82,0.63,1.1,1.5,3.04,0.5575462,0.32885923,-0.07,0.878895771,1.301587302,277.6707981,8.656365811,1.54,1.301587302,0.181789469,0.04391903
LaTaO3,4.073013,4.073013,4.073013,0,1.172,0.82,1.26,1.1,1.5,3.44,0.5575462,0.32885923,1.461112979,0.826895876,0.650793651,67.568984,9.040122158,1.94,0.650793651,0,0.506006054
LaTcN3,3.552912,5.708911,7.463624075,0,1.172,0.741666667,0.63,1.1,1.9,3.04,0.5575462,0.552,-0.07,0.929087875,1.177248677,142.5184288,6.499746167,1.14,1.177248677,0.351342075,0.081353411
LaTcN3,5.578939911,5.578939911,5.578940418,0,1.172,0.741666667,0.63,1.1,1.9,3.04,0.5575462,0.552,-0.07,0.929087875,1.177248677,124.1818418,7.459493257,1.14,1.177248677,5.25E-08,0.093365987
LaTcN3,7.387449346,7.387449346,6.192098754,0,1.172,0.741666667,0.63,1.1,1.9,3.04,0.5575462,0.552,-0.07,0.929087875,1.177248677,322.0690634,5.752391127,1.14,1.177248677,0.09874604,0.035999609
LaTiGe3,6.29781764,6.297816134,5.93978851,0,1.172,0.851666667,0.77,1.1,1.54,2.01,0.5575462,0.075545,1.232676413,0.846911882,1.106060606,204.0241892,6.587529244,0.47,1.106060606,0.033456121,0.073853249
LaTiO3,3.958938,3.958938,3.958938,0,1.172,0.851666667,1.26,1.1,1.54,3.44,0.5575462,0.075545,1.461112979,0.814495701,0.675925926,62.04918782,6.282852088,1.9,0.675925926,0,0.555500463
LaTiO3,5.56856,5.673297,7.938288,0,1.172,0.851666667,1.26,1.1,1.54,3.44,0.5575462,0.075545,1.461112979,0.814495701,0.675925926,250.7871466,6.217956136,1.9,0.675925926,0.209427921,0.137440666
LaTiS3,3.779885,8.058379,13.248556,0,1.172,0.851666667,0.88,1.1,1.54,2.58,0.5575462,0.075545,2.07710426,0.838037881,0.96780303,403.5476494,4.657477641,1.04,0.96780303,0.567028214,0.044343007
LaTlO3,3.751911909,3.751911909,13.027912,0.3497,1.3325,1.172,1.26,1.62,1.1,3.44,0.32005319,0.5575462,1.461112979,0.753886185,0.93015873,158.8220221,8.182080686,2.34,0.93015873,0.782520464,0.263131828
LaTmO3,5.85709,6.051442,8.468151,4.414,1.172,1.095,1.26,1.1,1.25,3.44,0.5575462,1.02922,1.461112979,0.73033691,0.869047619,300.1437927,7.874661618,2.19,0.869047619,0.214162681,0.124541467
LaVGe3,6.260616776,6.260616776,5.67791287,0,1.172,0.7775,0.77,1.1,1.63,2.01,0.5575462,0.527662,1.232676413,0.887501628,1.00974026,192.7318925,7.026475743,0.38,1.00974026,0.055457149,0.074969395
LaVN3,3.629583,6.02494145,6.328775638,0.5744,1.172,0.7775,0.63,1.1,1.63,3.04,0.5575462,0.527662,-0.07,0.905434365,1.234126984,131.3865339,5.860940487,1.41,1.234126984,0.277507601,0.090223962
LaVO3,3.950068,3.950068,3.950068,0,1.172,0.7775,1.26,1.1,1.63,3.44,0.5575462,0.527662,1.461112979,0.844144011,0.617063492,61.63305796,6.408106455,1.81,0.617063492,0,0.549210078
LaVO3,5.62405784,7.706708683,5.571443663,0,1.172,0.7775,1.26,1.1,1.63,3.44,0.5575462,0.527662,1.461112979,0.844144011,0.617063492,241.4819988,6.542122369,1.81,0.617063492,0.193293521,0.140173995
LaVS3,3.837115,7.806454,13.233138,0,1.172,0.7775,0.88,1.1,1.63,2.58,0.5575462,0.527662,2.07710426,0.87553681,0.883522727,396.3888793,4.793109905,0.95,0.883522727,0.568822516,0.043582605
LaVSb3,6.151936,6.315591,13.425593,0,1.172,0.7775,0.83,1.1,1.63,2.05,0.5575462,0.527662,1.04740119,0.88077237,0.936746988,521.6260636,7.068742035,0.42,0.936746988,0.481171551,0.030476464
LaWN3,3.88455453,5.851470092,7.958095272,1.7118,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,170.604436,7.100723676,0.68,1.216931217,0.345397733,0.069007937
LaWN3,3.92323858,3.92323858,4.35371765,0,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,67.01155549,9.038851206,0.68,1.216931217,0.061114731,0.175687015
LaWN3,4.047465765,4.047465765,4.047466475,0.7064,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,66.29998166,9.135861941,0.68,1.216931217,1.01E-07,0.1775726
LaWN3,4.656111762,4.656111762,3.292368,0,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,61.81385242,9.798895481,0.68,1.216931217,0.187397861,0.1904599
LaWN3,5.644393672,5.644393672,5.64439342,0,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,128.9393284,9.395232421,0.68,1.216931217,2.58E-08,0.091306976
LaWN3,5.654693,5.692628,8.00222,0,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,257.5919716,9.405688779,0.68,1.216931217,0.208458937,0.045704298
LaWN3,5.685491361,5.685491361,5.685491077,1.2096,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,129.9967779,9.31880757,0.68,1.216931217,2.89E-08,0.090564246
LaWN3,5.784456747,5.784456747,3.95800923,0,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,131.9941989,9.177789389,0.68,1.216931217,0.203742876,0.089193769
LaWN3,7.433985812,7.433846762,6.348757924,2.3862,1.172,0.766666667,0.63,1.1,2.36,3.04,0.5575462,0.81650082,-0.07,0.912457424,1.216931217,332.3303937,7.29042532,0.68,1.216931217,0.088588665,0.03542577
LaYO3,5.915933,6.123557,8.610897,4.3416,1.172,1.04,1.26,1.1,1.22,3.44,0.5575462,0.3112922,1.461112979,0.747801488,0.825396825,311.943116,5.872769225,2.22,0.825396825,0.217855465,0.117305263
LaYbS3,6.619955652,6.619955652,9.547585641,0,1.172,1.084,0.88,1.1,1.1,2.58,0.5575462,-0.02,2.07710426,0.738901356,1.231818182,236.8525384,5.722828217,1.48,1.231818182,0.222525708,0.087153087
LaYbSe3,6.887423064,6.887423064,10.00615868,0,1.172,1.084,1.013333333,1.1,1.1,2.55,0.5575462,-0.02,2.020604712,0.736886876,1.069736842,268.3283795,6.792767394,1.45,1.069736842,0.227148036,0.093745423
LaZnO3,3.9281,3.9281,3.9281,0,1.172,0.88,1.26,1.1,1.65,3.44,0.5575462,-0.62,1.461112979,0.80371188,0.698412698,60.61046363,6.912586053,1.79,0.698412698,0,0.573090705
LaZrO3,4.193758,4.193758,4.193758,0,1.172,0.86,1.26,1.1,1.33,3.44,0.5575462,0.433289,1.461112979,0.811294067,0.682539683,73.75816405,6.26156938,2.11,0.682539683,0,0.468355682
LiAcO3,3.919444,3.919444,3.919444,0,1.26,0.9,1.26,1.1,0.98,3.44,0.35,0.61804922,1.461112979,0.825082508,0.714285714,60.21066048,7.775550912,2.46,0.714285714,0,0.607371674
LiAgF3,5.425231,5.465485534,5.704324863,0.2067,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,131.6418552,4.334304368,3,1.276595745,0.027272561,0.097475891
LiAgF3,5.425231149,5.704325286,5.465485894,0.3374,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,131.6418817,4.334303495,3,1.276595745,0.027272579,0.097475871
LiAgF3,5.431358862,5.431358862,15.230729,0.2356,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,389.1063099,4.399125792,3,1.276595745,0.650470102,0.032977895
LiAgF3,5.494201721,5.64040248,8.381144233,0,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,259.4648184,4.398098143,3,1.276595745,0.249985235,0.049455287
LiAgF3,5.619964,5.270943,9.71852463,0.0885,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,243.2556968,4.691161402,3,1.276595745,0.360013302,0.052750695
LiAgF3,5.940808082,5.940808082,5.940807948,0,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,130.286556,4.379391746,3,1.276595745,1.31E-08,0.098489879
LiAgF3,6.536792634,6.536792634,3.203465,0,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,131.5501021,4.337327443,3,1.276595745,0.354701419,0.097543878
LiAgF3,6.797884998,6.797884998,6.060563828,0.3228,1.086666667,0.9,0.705,1.93,0.98,3.98,1.304473,0.61804922,3.401189824,0.789464794,1.276595745,279.2929365,4.085859636,3,1.276595745,0.064970291,0.045944259
