formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
SrZrO3,4.176861,4.176861,4.274988,3.2609,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,74.58215805,5.050542186,2.11,0.682539683,0.013458299,0.501941158,-1.510287289,-0.078938639,1,Other,1,1
SrZrO3,4.197594,4.197594,4.197594,3.2144,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,73.96074741,5.092976326,2.11,0.682539683,0,0.506158416,-1.507218243,-0.106747378,1,Other,1,1
SrZrO3,5.78296588,5.78296588,4.18518549,3.1681,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,139.9638792,5.382536375,2.11,0.682539683,0.175697811,0.267467971,-0.334764443,-0.838817168,1,Other,1,1
SrZrO3,5.79524115,5.8442896,8.21457412,3.6122,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,278.219966,5.415575898,2.11,0.682539683,0.208953407,0.134554882,0.33215453,0.104446309,1,Other,1,1
SrZrO3,5.81235817,5.81235817,5.81235817,3.4652,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,139.4480658,5.402446184,2.11,0.682539683,0,0.268457325,-0.054605633,-0.468148185,1,Other,1,1
SrZrO3,5.814864578,5.814864578,8.25266177,3.416,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,279.0274784,5.399903088,2.11,0.682539683,0.212368251,0.134165477,0.334756805,0.106872057,1,Other,1,1
SrZrO3,5.844042019,5.844042429,5.844044603,3.5667,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,139.291304,5.40852623,2.11,0.682539683,2.38E-07,0.268759454,-0.026102856,-0.475238767,1,Other,1,1
SrZrO3,8.396673,8.396673,8.396673,3.542,1.32,0.86,1.26,0.95,1.33,3.44,0.052066,0.433289,1.461112979,0.860665581,0.682539683,592.0000195,5.090274637,2.11,0.682539683,0,0.063236239,2.270197195,-1.04654439,1,Other,1,1
SrZrS3,3.84019975,8.58682343,13.99646858,0.5512,1.32,0.86,0.88,0.95,1.33,2.58,0.052066,0.433289,2.07710426,0.894178088,0.977272727,461.5351917,3.958207414,1.25,0.977272727,0.576957065,0.04520136,1.524284335,2.133323846,1,Other,1,1
SrZrS3,6.76185335,7.15875562,9.80481376,1.1777,1.32,0.86,0.88,0.95,1.33,2.58,0.052066,0.433289,2.07710426,0.894178088,0.977272727,474.6162826,3.849113661,1.25,0.977272727,0.209171201,0.043955547,1.428263208,0.0179182,1,Other,1,1
SrZrSe3,3.992994,9.063053,14.655838,0.1669,1.32,0.86,1.013333333,0.95,1.33,2.55,0.052066,0.433289,2.020604712,0.880871005,0.848684211,530.3759628,5.206313946,1.22,0.848684211,0.57739382,0.04784181,1.86075737,2.202523453,1,Other,1,1
TaAgO3,3.99937,3.99937,3.99937,1.7306,1.086666667,0.82,1.26,1.93,1.5,3.44,1.304473,0.32885923,1.461112979,0.797881986,0.650793651,63.96976476,8.743087804,1.94,0.650793651,1.36E-16,0.513086471,-1.685536964,-0.062382811,0,Other,1,1
TaAgO3,5.650974756,5.650974756,5.650975557,1.9156,1.086666667,0.82,1.26,1.93,1.5,3.44,1.304473,0.32885923,1.461112979,0.797881986,0.650793651,125.0421701,8.9456744,1.94,0.650793651,8.18E-08,0.262487614,-0.199783103,-0.432028731,0,Other,1,1
TaCuO3,6.439122216,6.439122216,6.823248275,1.5612,0.82,0.82,1.26,1.5,1.5,3.44,0.32885923,0.32885923,1.461112979,0.707213579,0.650793651,281.3230122,6.905862719,1.94,0.650793651,0.033770327,0.105773771,0.570216891,-0.517729531,0,Other,1,1
TaCuS3,3.51188539,9.52958893,11.89053138,0.418,0.82,0.82,0.88,1.5,1.5,2.58,0.32885923,0.32885923,2.07710426,0.707213579,0.931818182,397.9383226,5.686581691,1.08,0.931818182,0.519846534,0.033127645,1.412678243,1.723392489,0,Other,1,1
TaTlO3,4.082848,4.082848,4.082848,0.6811,1.3325,0.82,1.26,1.62,1.5,3.44,0.32005319,0.32885923,1.461112979,0.881466924,0.650793651,68.05963814,10.57249765,1.94,0.650793651,0,0.548892281,-1.610441667,-0.081066044,1,Other,1,1
TaTlO3,7.54030697,7.54030697,13.0620291,0.9801,1.3325,0.82,1.26,1.62,1.5,3.44,0.32005319,0.32885923,1.461112979,0.881466924,0.650793651,605.2161094,9.511450247,1.94,0.650793651,0.339836712,0.061725736,2.376642506,0.44883687,1,Other,1,1
TaTlO3,7.545341357,7.545341357,7.545341357,0.656,1.3325,0.82,1.26,1.62,1.5,3.44,0.32005319,0.32885923,1.461112979,0.881466924,0.650793651,303.7537717,9.475574379,1.94,0.650793651,0,0.122985831,1.504354664,-0.856007623,1,Other,1,1
TaTlS3,3.52052828,9.36354836,14.4418627,0.5958,1.3325,0.82,0.88,1.62,1.5,2.58,0.32005319,0.32885923,2.07710426,0.920417672,0.931818182,476.0707587,6.7182705,1.08,0.931818182,0.599993363,0.04365648,1.760172926,2.330559419,1,Other,1,1
TaTlSe3,3.650713,9.842243,15.345726,0.2993,1.3325,0.82,1.013333333,1.62,1.5,2.55,0.32005319,0.32885923,2.020604712,0.90491192,0.809210526,551.3904186,7.495276937,1.05,0.809210526,0.608649052,0.045876207,2.127914364,2.466627628,1,Other,1,1
TaWN3,5.885075274,9.572887855,7.886044118,0.233,0.82,0.766666667,0.63,1.5,2.36,3.04,0.32885923,0.81650082,-0.07,0.734219348,1.216931217,321.9746932,8.39221911,0.68,1.216931217,0.237251643,0.022794776,1.680612617,-0.196800502,0,Other,1,1
TbAlO3,5.19165377,5.30555533,7.39404835,5.5982,0.9815,0.675,1.26,1.1,1.61,3.44,0.131318,0.432835,1.461112979,0.819234747,0.535714286,203.666151,7.628337563,1.83,0.535714286,0.207919609,0.149196624,-0.221493206,0.185064459,1,Other,1,1
TbBO3,3.889950755,4.323501719,8.52708142,4.4297,0.9815,0.41,1.26,1.1,2.04,3.44,0.131318,0.27972325,1.461112979,0.949233076,0.325396825,119.3078876,6.060902319,1.4,0.325396825,0.458996686,0.24631019,-0.8886671,1.035237695,1,Other,1,1
TbBS3,6.10527,7.247642,8.755194,2.3293,0.9815,0.41,0.88,1.1,2.04,2.58,0.131318,0.27972325,2.07710426,1.020525641,0.465909091,387.406927,4.559437274,0.54,0.465909091,0.180361326,0.033073523,1.048512143,0.03470925,1,Other,1,1
TbBiTe3,10.84725989,10.84725989,10.8472606,1.038,1.035,0.9815,1.293333333,2.02,1.1,2.1,0.94236213,0.131318,1.9708757,0.723845973,0.758891753,178.0067494,7.002971684,1,0.758891753,3.81E-08,0.201062717,4.474700902,-1.595010738,0,Other,1,1
TbCO3,4.891937,5.319011,8.068755158,4.0554,0.9815,0.3,1.26,1.1,2.55,3.44,0.131318,1.262122611,1.461112979,1.016166177,0.238095238,209.9506628,6.926367754,0.89,0.238095238,0.282957407,0.139133403,-0.221562018,0.466517347,1,Other,1,1
TbCoO3,5.14811318,5.40980175,7.38391903,1.4209,0.9815,0.768333333,1.26,1.1,1.88,3.44,0.131318,0.66225547,1.461112979,0.781537832,0.60978836,205.6441511,8.586979183,1.56,0.60978836,0.204381022,0.15073603,-0.201172927,0.195291354,0,Other,1,1
TbCrO3,5.25593727,5.54415288,7.56498891,2.4854,0.9815,0.94,1.26,1.1,1.66,3.44,0.131318,0.67592827,1.461112979,0.720554198,0.746031746,220.4416568,7.801541691,1.78,0.746031746,0.205533136,0.147781483,-0.082819734,0.187123622,0,Other,1,1
TbCrSe3,3.902542,8.221596,13.351086,0.114,0.9815,0.94,1.013333333,1.1,1.66,2.55,0.131318,0.67592827,2.020604712,0.72223885,0.927631579,428.3712458,6.94343338,0.89,0.927631579,0.557019003,0.047891837,1.311224088,1.973700473,0,Other,1,1
TbErO3,4.24976,4.24976,4.24976,1.7284,1.03,0.9815,1.26,1.24,1.1,3.44,0.312,0.131318,1.461112979,0.722515768,0.778968254,76.75262073,8.095420539,2.34,0.778968254,0,0.438750582,-1.460290654,-0.118422664,0,Other,1,1
TbErO3,5.681784,5.937561,8.402514,4.5065,1.03,0.9815,1.26,1.24,1.1,3.44,0.312,0.131318,1.461112979,0.722515768,0.778968254,283.4667005,8.767798704,2.34,0.778968254,0.225118552,0.118797929,0.353743398,0.190640641,0,Other,1,1
TbFeO3,5.30188447,5.62729075,7.63675994,1.6263,0.9815,0.8525,1.26,1.1,1.83,3.44,0.131318,0.15323635,1.461112979,0.750399638,0.676587302,227.8446071,7.66026369,1.61,0.676587302,0.204344327,0.139100323,-0.023750593,0.181073488,0,Other,1,1
TbGaO3,5.320997,5.60395,7.659555,3.9218,0.9815,0.76,1.26,1.1,1.81,3.44,0.131318,0.30116615,1.461112979,0.784761998,0.603174603,228.3972154,8.045324073,1.63,0.603174603,0.206034702,0.135451876,-0.021537172,0.179792991,0,Other,1,1
TbGaO3,5.378312443,5.378312443,5.378312918,3.7138,0.9815,0.76,1.26,1.1,1.81,3.44,0.131318,0.30116615,1.461112979,0.784761998,0.603174603,113.7969071,8.073723895,1.63,0.603174603,5.10E-08,0.271860036,-0.445065235,-0.371004181,0,Other,1,1
TbGdO3,5.784414,6.033436,8.490438,3.1586,1.075,0.9815,1.26,1.2,1.1,3.44,0.2123,0.131318,1.461112979,0.736713676,0.778968254,296.3153664,8.163254092,2.34,0.778968254,0.220938713,0.115761036,0.441255679,0.164537339,0,Other,1,1
