formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag
AcScO3,4.125046,4.125046,4.125046,3.3847,1.26,0.885,1.26,1.1,1.36,3.44,0.35,0.17938023,1.461112979,0.830852316000831,0.7023809523809523,70.19180130743561,7.569207408829243,2.08,0.7023809523809523,0.0,0.5188654245878189,-1.5724811098076232,-0.09051039026119466,1
AcSiO3,3.970175,3.970175,3.970175,0.0,1.26,0.54,1.26,1.1,1.9,3.44,0.35,1.38952128,1.461112979,0.99009900990099,0.4285714285714286,62.5790478372491,8.042345508493089,1.54,0.4285714285714286,0.0,0.5461285593294505,-1.7118002572303137,-0.055848669676425204,1
AcTiO3,3.99582001,3.99582001,3.99582001,0.0,1.26,0.8516666666666667,1.26,1.1,1.54,3.44,0.35,0.075545,1.461112979,0.8439675853931091,0.6759259259259259,63.7995700747627,8.403352518165326,1.9,0.6759259259259259,1.361162366780898e-16,0.5659007422082927,-1.6887304705766057,-0.06158828633166483,1
AcVO3,3.96789433,3.96789746,3.96789433,0.0,1.26,0.7775000000000001,1.26,1.1,1.63,3.44,0.35,0.527662,1.461112979,0.8746886958634513,0.6170634920634921,62.47131331416277,8.6637462299545,1.81,0.6170634920634921,4.554319538641897e-07,0.5680266063156151,-1.7138507591166001,-0.055338389168896926,1
AgAsO3,6.38907548326394,6.389075483244043,6.389075851082788,0.2921,1.086666666666667,0.6599999999999999,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.8643721515008644,0.5238095238095237,119.28055162319482,6.425733028349928,1.2599999999999998,0.5238095238095237,3.323893285283214e-08,0.2659001487873632,0.4641988780058229,-0.5972233571478555,1
AgAsO3,7.778960825645029,7.778960825645029,5.158002726894685,0.7378,1.086666666666667,0.6599999999999999,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.8643721515008644,0.5238095238095237,304.7254522248717,5.030528133497361,1.2599999999999998,0.5238095238095237,0.21913734133559887,0.10408292511332777,1.298321924558178,-1.5271208510108638,1
AgAuO3,6.423519612541165,6.423519612541165,7.539733,0.0,1.086666666666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.7122723308504977,0.8492063492063493,294.29506712515894,7.963340122990181,0.8999999999999999,0.8492063492063493,0.09483297688432674,0.12111621326977376,0.6724321925834287,-0.3413864986678856,0
AgAuO3,7.285926449969694,7.285926449969694,7.285926449969694,0.2423,1.086666666666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.7122723308504977,0.8492063492063493,273.488677155319,8.569172736555055,0.8999999999999999,0.8492063492063493,0.0,0.13033045640105362,1.2709897103900063,-0.7979479025049948,0
AgBO3,3.483287,3.483287,3.483287,0.0,1.086666666666667,0.41,1.26,1.93,2.04,3.44,1.304473,0.27972325,1.461112979,0.9937691801686588,0.3253968253968253,42.26372548752631,6.548744367105115,1.4,0.32539682539682535,1.5614446418116205e-16,0.7287845841731512,-2.1497958861752986,0.05312186587947072,1
AgBO3,6.001194420657441,6.001194420657441,6.0011951381864765,0.0,1.086666666666667,0.41,1.26,1.93,2.04,3.44,1.304473,0.27972325,1.461112979,0.9937691801686588,0.3253968253968253,109.9353807286683,5.035218550839825,1.4,0.32539682539682535,6.903051894882422e-08,0.28017505739171855,0.11526815280656859,-0.5104115085797727,1
AgBiO3,6.303216286437266,6.303216286437266,6.303216493885404,0.0,1.086666666666667,1.035,1.26,1.93,2.02,3.44,1.304473,0.94236213,1.461112979,0.7231348718438605,0.8214285714285714,154.63007543874295,7.836022365054108,1.42,0.8214285714285714,1.900144805967373e-08,0.2273596677117962,0.3869614736945483,-0.5780072248458337,0
AgBiO3,6.688041740330203,6.688041740330203,3.49088122,0.0,1.086666666666667,1.035,1.26,1.93,2.02,3.44,1.304473,0.94236213,1.461112979,0.7231348718438605,0.8214285714285714,149.26590686018258,8.1176254841836,1.42,0.8214285714285714,0.328313040279763,0.23553029160861103,0.22545334507086176,-1.419007431430873,0
AgCO3,6.031251394317758,6.03125180605084,6.031252522130848,0.0,1.086666666666667,0.3,1.26,1.93,2.55,3.44,1.304473,1.262122611,1.461112979,1.063842648001064,0.238095238095238,113.34598203986192,4.91885954703674,0.8900000000000001,0.23809523809523808,9.462540540657883e-08,0.2701953150848322,0.14230707818793054,-0.5171384917841173,1
AgGeO3,2.993014,5.324973,7.139362,0.0,1.086666666666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.8175342516658421,0.6111111111111112,113.78514352920584,6.66947885108977,1.4300000000000002,0.6111111111111112,0.4034102204114157,0.2849649431216835,-1.0774559386240885,1.0249624410154372,1
AgGeO3,3.170383,5.158475,9.308652,0.0,1.086666666666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.8175342516658421,0.6111111111111112,152.23687320929267,4.984913262721486,1.4300000000000002,0.6111111111111112,0.5327204807346768,0.2129889840112238,-0.7276645950442977,1.4728055335515828,1
AgGeO3,5.15847512782043,9.308652172260816,3.170383214193199,0.0,1.086666666666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.8175342516658421,0.6111111111111112,152.22963156576708,4.985150397663503,1.4300000000000002,0.6111111111111112,0.5327204629869674,0.2129991160090564,0.5630536236214582,-0.9991975624836584,1
AgGeO3,10.407861612121383,8.850075154274906,3.1728930403382654,0.0,1.086666666666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.8175342516658421,0.6111111111111112,292.25589368380406,5.193309183747746,1.4300000000000002,0.6111111111111112,0.5092893237426198,0.1109465288969453,2.359425364265453,-3.126825568400793,1
AgNO3,4.151836390863807,4.151836044266199,4.151836390863807,1.7204000000000002,1.086666666666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.8780923443818305,0.5,66.94305711049056,4.21374420425511,0.3999999999999999,0.5,4.819752255028776e-08,0.4714432202816371,-1.5483810863406604,-0.09650633754846225,1
AgNO3,6.201768483235515,6.201684964596964,6.201686927787416,1.853899999999999,1.086666666666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.8780923443818305,0.5,125.10450403344892,4.509524594558627,0.3999999999999999,0.5,7.685439406716903e-06,0.2522678992534843,0.295657262934208,-0.5553172835844974,1
AgNO3,6.90205076,7.20285772,10.01382351,2.008899999999999,1.086666666666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.8780923443818305,0.5,497.832124749116,4.532948436087429,0.3999999999999999,0.5,0.2134875866364526,0.06339456385136233,1.5300778641282378,0.007603625599129105,1
AgNO3,7.077779,7.419143,10.226522,2.0027,1.086666666666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.8780923443818305,0.5,537.0054543267189,4.20228013166999,0.3999999999999999,0.5,0.20965953878568377,0.05877007424298138,1.708899874947701,-0.025029799962785884,1
AgPO3,4.050258,5.872686,11.96470882086522,2.287,1.086666666666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.9169030557357236,0.4365079365079365,264.7268375552521,4.6879325281271225,1.25,0.43650793650793657,0.5680909624580996,0.11789271633307111,0.28516482203087584,1.703552099400903,1
AgPO3,5.97752081,7.317044274932469,13.599252757519332,2.0232,1.086666666666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.9169030557357236,0.4365079365079365,523.544804128728,4.7408418269331225,1.25,0.43650793650793657,0.45392057631650773,0.05961164301418345,1.7953664293872376,1.2272993900773563,1
AgPS3,6.780253845767679,6.780254284116962,6.61949431379608,1.3228,1.086666666666667,0.55,0.88,1.93,2.19,2.58,1.304473,0.74660911,2.07710426,0.9726247350009728,0.625,222.4638175390565,3.508777848132174,0.3900000000000001,0.625,0.01379801898316357,0.0657883590185271,0.790568293240807,-0.7227296669070307,1
AgPbO3,6.063536038908731,6.063536038908731,6.063536145956417,0.0,1.1225,1.086666666666667,1.26,2.33,1.93,3.44,0.3567212,1.304473,1.461112979,0.7180126494792337,0.8624338624338624,146.41846842959492,8.23510787178762,1.51,0.8624338624338626,1.0192733944597261e-08,0.24885454136526863,0.17134944685387157,-0.5243643472363051,0
AgPd3Se,8.775577,8.775577,8.775577,0.0,1.086666666666667,1.0133333333333334,0.84625,1.93,2.55,2.2,1.304473,2.020604712,0.5621412,0.7351027987149408,1.1974396848842936,675.813781221423,9.94805670551939,0.34999999999999964,1.1974396848842936,0.0,0.025671578974344696,2.6110523727862183,-1.1313469968099223,0
AgPdO3,6.47763478087743,6.47763478087743,6.838195,0.0,1.086666666666667,0.84625,1.26,1.93,2.2,3.44,1.304473,0.5621412,1.461112979,0.7879380562049422,0.6716269841269841,267.596321977409,6.5103557570517445,1.2399999999999998,0.6716269841269841,0.03155125353421653,0.12351066528768619,0.6011199820559734,-0.5319131001754943,0
AgRuO3,7.214616145300594,7.214616145300594,7.214616145300594,0.0,1.086666666666667,0.6609999999999999,1.26,1.93,2.2,3.44,1.304473,1.046272,1.461112979,0.8639221920258511,0.5246031746031745,265.5367834644938,6.427025653696133,1.2399999999999998,0.5246031746031745,1.5077613867467822e-16,0.11946442304224492,1.2068402514922703,-0.7819879238436888,1
AgSbO3,6.365893470917373,6.365892970772247,6.36589376317344,0.133299999999999,1.086666666666667,0.8300000000000001,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.7940643688428994,0.6587301587301588,137.6369853909369,6.698918634552929,1.3900000000000001,0.6587301587301588,6.294793647747672e-08,0.23908945467445614,0.4433445640851496,-0.5920349774429303,0
AgSbO3,7.270079791023507,7.270079791023507,7.270079791023507,0.094599999999999,1.086666666666667,0.8300000000000001,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.7940643688428994,0.6587301587301588,271.7080679491053,6.786835394315514,1.3900000000000001,0.6587301587301588,1.496258632197586e-16,0.12111363504420938,1.2567343429301143,-0.794401257461088,0
AgSbO3,8.102397,8.348074399865935,13.442677477501794,0.0,1.086666666666667,0.8300000000000001,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.7940643688428994,0.6587301587301588,857.9101650285205,6.448360239734785,1.3900000000000001,0.6587301587301588,0.3025571192870457,0.03835780612188131,2.9435492727992276,0.2678831860512552,0
AgSbO3,8.16570663667542,8.16570663667542,9.517102340571997,0.287499999999999,1.086666666666667,0.8300000000000001,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.7940643688428994,0.6587301587301588,430.8249683273084,6.420372777966916,1.3900000000000001,0.6587301587301588,0.09055398210249291,0.07638264770939299,2.2770176498796157,-0.6757776373860179,0
AgSnO3,6.60529984780199,6.60529984780199,3.286703,0.0,1.086666666666667,0.83,1.26,1.93,1.96,3.44,1.304473,1.1120702,1.461112979,0.7940643688428994,0.6587301587301587,134.59491336386623,6.775067906671611,1.48,0.6587301587301587,0.34841928139941475,0.24449327955799,0.1317368689980742,-1.4291609239418783,0
AgTeO3,5.461745683913237,6.918137290444788,7.399801560000014,1.1676,1.2933333333333332,1.086666666666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.7694965925163945,0.8624338624338624,274.18003351321124,6.867123404093996,1.51,0.8624338624338626,0.15304396929333125,0.14433717610682195,0.4716977751396721,-0.00507808632623955,0
AgTeO3,6.92440761,6.518629494280824,13.29551784875234,1.5732,1.2933333333333332,1.086666666666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.7694965925163945,0.8624338624338624,600.0363880095312,6.2757131490630265,1.51,0.8624338624338626,0.426453763307046,0.06595328645559093,1.8086981101366721,0.807564224692777,0
Al3BC,3.48117644426188,3.48117644426188,11.46837206,0.453,0.41,0.3,0.675,2.04,2.55,1.61,0.27972325,1.262122611,0.432835,0.7870017771007869,0.4444444444444444,120.36064717516008,2.863195325500272,0.9399999999999997,0.4444444444444444,0.750606861916079,0.035447972887369394,-0.8833752674435081,1.9394277477808761,0
AlAgO3,3.4082844093597884,3.4082844093597884,11.579135,0.0,1.086666666666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.8576715921869043,0.5357142857142857,116.48724396800375,5.213036809008493,1.8299999999999998,0.5357142857142857,0.7693279095764481,0.27299731927367554,-0.9197843027330935,1.9991039756898572,1
AlAgO3,3.751028,3.751028,3.751028,0.0,1.086666666666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.8576715921869043,0.5357142857142857,52.77775563990637,5.752918850209689,1.8299999999999998,0.5357142857142857,0.0,0.6025399327287513,-1.908940930437307,-0.006801320069394447,1
AlAgO3,4.003727,4.003727,4.003727,0.0,1.086666666666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.8576715921869043,0.5357142857142857,64.17906273811799,4.730922084847537,1.8299999999999998,0.5357142857142857,0.0,0.49549968441586795,-1.681617485540804,-0.06335795191170594,1
AlAgO3,4.313100198084088,5.740123170650173,10.013828009245715,0.0622,1.086666666666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.8576715921869043,0.5357142857142857,247.91957719409973,4.898784496633195,1.8299999999999998,0.5357142857142857,0.44348192491980587,0.12827024671773474,0.025119644100492448,1.1418659492710723,1
AlAgO3,4.727991,5.293314,9.496944,0.032,1.086666666666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.8576715921869043,0.5357142857142857,237.6775573253032,5.109883300879145,1.8299999999999998,0.5357142857142857,0.40047740356497685,0.1337976782103951,-0.06553713510666288,0.8721959091791794,1
AlAgO3,6.049468028248847,6.049468028248847,10.846984,0.048099999999999,1.086666666666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.8576715921869043,0.5357142857142857,343.77477103566014,5.299274482147776,1.8299999999999998,0.5357142857142857,0.3621359000962407,0.09250447680334556,0.9205111512416876,0.6115117303511916,1
AlBiO3,3.6427624919538735,3.6427624919538735,12.876102,0.641099999999999,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,147.97103559945393,6.373232458531103,1.8299999999999998,0.5357142857142857,0.7932203668004382,0.2099728637458306,-0.540135134106283,2.197486539267897,1
AlBiO3,3.787194,3.787194,3.787194,1.585999999999999,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,54.31911150734789,8.680681447425108,1.8299999999999998,0.5357142857142857,0.0,0.5719884076537349,-1.8764066516782818,-0.014895642354837061,1
AlBiO3,4.274584,4.274584,4.274584,0.0,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,78.10549111437122,6.037051899615939,1.8299999999999998,0.5357142857142857,0.0,0.3977940814783098,-1.4379594326227776,-0.12397853066711463,1
AlBiO3,5.094505,7.207137,8.683036793422046,3.0001,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,284.0844556688522,6.639249618811864,1.8299999999999998,0.5357142857142857,0.2578532994888206,0.10936853979955434,0.6440176403710415,0.43391471857702885,1
AlBiO3,5.384863,5.395965,9.424568,0.948,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,273.8452642962739,6.8874939972276366,1.8299999999999998,0.5357142857142857,0.3458175003403568,0.11345787620646593,0.20637894096375478,0.5807762247680585,1
AlBiO3,5.459999439663891,5.459999439663891,5.459999208192708,2.977899999999999,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,113.6752137295987,8.296037245622959,1.8299999999999998,0.5357142857142857,2.4476184107152102e-08,0.27332169500169257,-0.3715812036245169,-0.38928673691947463,1
AlBiO3,6.323772693044873,6.323772693044873,11.833578,0.7618,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.8387881977566527,0.5357142857142857,409.82569070936927,6.903328622755919,1.8299999999999998,0.5357142857142857,0.38982127498615626,0.07581248028271372,1.2803779778989965,0.7182960913090992,1
AlCo3C,3.722911,3.722911,3.722911,0.0,0.675,0.3,0.7683333333333334,1.61,2.55,1.88,0.432835,1.262122611,0.66225547,0.9554554742302848,0.3904555314533622,51.59979334082594,6.9444222571555,0.6699999999999999,0.3904555314533622,0.0,0.13761948758535478,-1.9342344745358393,-0.0005084466606739952,1
AlCoO3,3.1517642678328595,3.1517642678328595,11.266135,0.0,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,96.91991245037585,4.588688787346288,1.8299999999999998,0.5357142857142857,0.7999300812467625,0.2922582672034776,-1.1595138435122878,2.0431805232011784,0
AlCoO3,3.694482,3.694482,3.694482,0.0,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,50.426713548382544,4.409719414937844,1.8299999999999998,0.5357142857142857,1.4721846857129291e-16,0.561719050817821,-1.9598086881851324,0.005854255552809595,0
AlCoO3,4.769808999999999,4.920832,7.300502,0.0,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,171.3532126131805,5.190860547629025,1.8299999999999998,0.5357142857142857,0.25063226615962636,0.16530560027609772,-0.535235464440509,0.3551308381629687,0
AlCoO3,4.846808021306187,5.366148667741792,4.936906816476892,0.8939,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,93.40382959355364,4.761424852352278,1.8299999999999998,0.5357142857142857,0.05495358081268465,0.3032600032944958,-0.7184842515436161,-0.25680273713416923,0
AlCoO3,4.859753715111704,5.325595421680002,4.964776402484406,0.3481,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,93.2390744041256,4.769838379175771,1.8299999999999998,0.5357142857142857,0.04838486582333832,0.3037958693957848,-0.7240830098098396,-0.25349529776290664,0
AlCoO3,4.859754,4.877269816954255,5.186674642311103,0.0255,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,93.23909210681114,4.769837473558319,1.8299999999999998,0.5357142857142857,0.036968047585179346,0.30379581171608605,-0.8532162221090094,-0.17863513784457072,0
AlCoO3,5.175649031843832,5.175649031843832,5.175648975480176,2.5603,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,88.02147690236615,5.052577293436306,1.8299999999999998,0.5357142857142857,6.287437935157558e-09,0.32180379910778534,-0.6273776540925599,-0.325646153549892,0
AlCoO3,5.290845536872249,5.545188294416791,11.855107909472691,0.0,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,300.83541597823785,4.43500291432238,1.8299999999999998,0.5357142857142857,0.4916409356420907,0.09415661908739047,0.6118665177722709,1.185693809125778,0
AlCoO3,5.414479802301325,5.414479802301325,11.557588,0.0,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,293.4346035604501,4.546859608260251,1.8299999999999998,0.5357142857142857,0.4752932744582453,0.09653137471369926,0.5629592960792378,1.0713324831395035,0
AlCoO3,6.367889676634245,6.367889676634245,5.030233598808112,0.827199999999999,0.7683333333333334,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.7413255168263228,0.5357142857142857,199.73401558336545,4.453275664965529,1.8299999999999998,0.5357142857142857,0.13041126875781986,0.14181683369018822,0.23272860929775532,-0.9083119274413269,0
AlCrO3,3.1801274498260272,3.1801274498260272,11.738046,0.0,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.8040671176752228,0.5357142857142857,102.8053083398928,4.101895980166584,1.8299999999999998,0.5357142857142857,0.8190133326948099,0.29088826372820636,-1.063566078801717,2.141557336527684,1
AlCrO3,3.826701,3.826701,3.726416,0.0,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.8040671176752228,0.5357142857142857,54.568296419178175,3.863934818304003,1.8299999999999998,0.5357142857142857,0.015263751602797582,0.5480262278175898,-1.8567915323289899,-0.04741571432575387,1
AlCrO3,5.019513,5.052393,7.532182,1.802899999999999,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.8040671176752228,0.5357142857142857,191.0202958801217,4.415202888009722,1.8299999999999998,0.5357142857142857,0.24561776486546807,0.15655329978025817,-0.35678309354352306,0.3009098424758232,1
AlCrO3,5.515928196201615,5.515928196201615,11.631256,1.1578,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.8040671176752228,0.5357142857142857,306.4745698006157,4.12787933393825,1.8299999999999998,0.5357142857142857,0.4673699833332648,0.09757696263180864,0.6498090727593213,1.0420681425636489,1
AlCuO3,3.1582363402210736,3.1582363402210736,11.229472,0.0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.7602089112565742,0.5357142857142857,97.00166525182576,4.742751582207296,1.8299999999999998,0.5357142857142857,0.7967533522536174,0.2962349184894413,-1.1605412777413453,2.031547510482861,0
AlCuO3,3.699148,3.699148,3.699148,0.0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.7602089112565742,0.5357142857142857,50.618016416915935,4.544378009211107,1.8299999999999998,0.5357142857142857,1.4703277138525068e-16,0.5676887881685478,-1.9556112390702285,0.004809956825168219,0
AlCuO3,4.563595,4.870815,8.702906,0.0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.7602089112565742,0.5357142857142857,193.4519105341512,4.756270435164536,1.8299999999999998,0.5357142857142857,0.3814677207465832,0.14853965680603531,-0.4080364132173675,0.7732617117151097,0
AlCuO3,5.287445212571379,5.287445212571379,5.287445410575602,0.1349,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.7602089112565742,0.5357142857142857,93.92117845950877,4.8983073774801245,1.8299999999999998,0.5357142857142857,2.1620609823610928e-08,0.3059510205315727,-0.5268077937595016,-0.35066722707282943,0
AlCuO3,5.648616041375887,5.648616041375887,10.488773,0.0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.7602089112565742,0.5357142857142857,289.82739014121466,4.762021986179602,1.8299999999999998,0.5357142857142857,0.38480656444821293,0.0991461862359309,0.5666830974083357,0.7112943617805375,0
AlCuO3,6.781667,4.709123,6.232749402688512,0.35,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.7602089112565742,0.5357142857142857,198.42876062512912,4.636977017852498,1.8299999999999998,0.5357142857142857,0.18175706852180726,0.1448140899972724,-0.029653814555061775,-0.7108240569486294,0
AlFe3B,3.822321999999999,3.822321999999999,3.822321999999999,0.0,0.675,0.41,0.8525,1.61,2.04,1.83,0.432835,0.27972325,0.15323635,0.8556584088394696,0.4809384164222873,55.84468045961814,6.105405143121323,0.20999999999999996,0.48093841642228735,1.4229465288487142e-16,0.1676536013341146,-1.8448061389246733,-0.022757649578279627,1
AlFe3C,3.78948866,3.78990736,3.78993006,0.0,0.675,0.3,0.8525,1.61,2.55,1.83,0.432835,1.262122611,0.15323635,0.9373264565378138,0.3519061583577712,54.43025908535758,6.300659849414099,0.7199999999999998,0.3519061583577712,6.558403711045837e-05,0.1687841225562786,-1.874118817573776,-0.015325976959132133,1
AlFe3N,3.717861,3.717861,3.717861,0.0,0.675,0.63,0.8525,1.61,3.04,1.83,0.432835,-0.07,0.15323635,0.7286804324855517,0.7390029325513197,51.39009803799576,6.737893041831554,1.21,0.7390029325513197,1.4629271567823735e-16,0.19694962639605648,-1.9387773630978333,0.0006217952112909912,0
