formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
RbFeBr3,5.2,5.2,5.2,,1.72,0.64,1.96,0.82,1.83,2.96,0.49,0.16,3.36,1.00082806,0.326530612,140.608,4.498319342,1.13,0.326530612,0,0.832324244,2.12664,0.476728295,Stable_Cubic,Fe,1,1
RbFeCl3,4.9,4.9,4.9,,1.72,0.64,1.81,0.82,1.83,3.16,0.49,0.16,3.61,1.018810995,0.35359116,117.649,3.49189195,1.33,0.35359116,0,0.823872965,2.04009,0.470310423,Stable_Cubic,Fe,1,1
RbFeF3,4.137,4.137,9.653,,1.72,0.64,1.33,0.82,1.83,3.98,0.49,0.16,3.4,1.09475923,0.481203008,165.2088652,1.989123681,2.15,0.481203008,0.435142635,0.314611542,1.76313,0.433784249,Unstable_Hexagonal,Fe,1,1
KPbI3,9.252775075,9.444542434,13.3566,,1.64,1.19,2.2,0.82,2.33,2.66,0.5,0.36,3.06,0.800970513,0.540909091,1167.20959,0.892006533,0.33,0.540909091,0.17698145,0.136515337,2.43631,0.183863426,Unstable_Distorted,Pb,1,5
KPbBr3,8.597711352,8.775902261,12.411,,1.64,1.19,1.96,0.82,2.33,2.96,0.5,0.36,3.36,0.808122036,0.607142857,936.4431432,0.86179545,0.63,0.607142857,0.17698145,0.128309164,2.29783,0.142092279,Unstable_Distorted,Pb,1,5
KPbCl3,8.188296526,8.358002154,11.82,,1.64,1.19,1.81,0.82,2.33,3.16,0.5,0.36,3.61,0.813172798,0.657458564,808.934796,0.723593982,0.83,0.657458564,0.17698145,0.123681933,2.21128,0.110089964,Unstable_Distorted,Pb,1,5
KPbF3,7.056359991,7.056359991,10.1304,,1.64,1.19,1.33,0.82,2.33,3.98,0.5,0.36,3.4,0.833375849,0.894736842,504.4150682,0.997479361,1.65,0.894736842,0.179323003,0.109234257,1.93432,-0.043382222,Metastable,Pb,1,5
KSnI3,9.240471417,9.240471417,13.266,,1.64,1.1,2.2,0.82,1.96,2.66,0.5,1.11,3.06,0.822815164,0.5,1132.734815,0.789417592,0.7,0.5,0.179323003,0.13936052,2.45838,0.228230321,Metastable,Sn,1,6
KSnBr3,8.568437132,8.568437132,12.3012,,1.64,1.1,1.96,0.82,1.96,2.96,0.5,1.11,3.36,0.831890331,0.56122449,903.1309148,0.730862646,1,0.56122449,0.179323003,0.131399265,2.3199,0.19136075,Metastable,Sn,1,6
KSnCl3,8.148415704,8.148415704,11.6982,,1.64,1.1,1.81,0.82,1.96,3.16,0.5,1.11,3.61,0.838322473,0.607734807,776.7216242,0.564401127,1.2,0.607734807,0.179323003,0.126901478,2.23335,0.16302548,Metastable,Sn,1,6
KSnF3,6.804347134,6.804347134,9.7686,,1.64,1.1,1.33,0.82,1.96,3.98,0.5,1.11,3.4,0.864241621,0.827067669,452.2777782,0.787537764,2.02,0.827067669,0.179323003,0.118546411,1.95639,0.026281984,Metastable,Sn,1,6
KGeI3,5.86,5.86,5.86,,1.64,0.73,2.2,0.82,2.01,2.66,0.5,1.23,3.06,0.92672015,0.331818182,201.230056,4.063259298,0.65,0.331818182,0,0.764859619,2.23489,0.420595692,Stable_Cubic,Ge,1,2
KGeBr3,5.38,5.38,5.38,,1.64,0.73,1.96,0.82,2.01,2.96,0.5,1.23,3.36,0.946313908,0.37244898,155.720872,3.747177552,0.95,0.37244898,0,0.736734698,2.09641,0.405722504,Stable_Cubic,Ge,1,2
KGeCl3,5.08,5.08,5.08,,1.64,0.73,1.81,0.82,2.01,3.16,0.5,1.23,3.61,0.960440313,0.403314917,131.096512,2.760040374,1.15,0.403314917,0,0.721768651,2.00986,0.393887655,Stable_Cubic,Ge,1,2
