formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,True_Structural_Tag
RbSnF3,6.804347134001911,6.804347134001911,9.7686,2.672,1.72,1.1,1.33,0.82,1.96,3.98,0.49,1.11,3.4,0.8875208570448434,0.8270676691729324,452.2777782225121,0.9575284324204368,2.02,0.8270676691729324,0.1793230027965838,0.1248211432970635,2.0025500000000003,0.0427404038254409,Metastable,Sn,1,6,Metastable
RbGeI3,5.86,5.86,5.86,2.136,1.72,0.73,2.2,0.82,2.01,2.66,0.49,1.23,3.06,0.946026819880978,0.3318181818181818,201.23005600000005,4.445324499636375,0.6500000000000004,0.3318181818181818,0.0,0.7789624927637885,2.28105,0.434245507110397,Stable_Cubic,Ge,1,2,Stable_Cubic
RbGeBr3,5.38,5.38,5.38,1.914,1.72,0.73,1.96,0.82,2.01,2.96,0.49,1.23,3.36,0.9673431058611504,0.3724489795918367,155.720872,4.240900718819505,0.9500000000000002,0.3724489795918367,0.0,0.754959114724324,2.14257,0.4205901472724046,Stable_Cubic,Ge,1,2,Stable_Cubic
RbGeCl3,5.08,5.08,5.08,1.918,1.72,0.73,1.81,0.82,2.01,3.16,0.49,1.23,3.61,0.982711392751383,0.4033149171270718,131.096512,3.346501453829679,1.1500000000000004,0.4033149171270718,0.0,0.7434162305723364,2.05602,0.4096333082663879,Stable_Cubic,Ge,1,2,Stable_Cubic
RbGeF3,4.3260000000000005,4.3260000000000005,10.094,1.696,1.72,0.73,1.33,0.82,2.01,3.98,0.49,1.23,3.4,1.0469299430189174,0.5488721804511277,188.9019019440001,1.8873178847383425,1.97,0.5488721804511277,0.4351426345763369,0.2779646984056328,1.77906,0.3521268381354273,Unstable_Hexagonal,Ge,1,2,Unstable_Hexagonal
RbZnI3,5.880000000000001,5.880000000000001,5.880000000000001,2.269,1.72,0.74,2.2,0.82,1.65,2.66,0.49,-0.6,3.06,0.9428090415820632,0.3363636363636363,203.29747200000008,4.340491533510066,1.0100000000000002,0.3363636363636363,1.5105075164968116e-16,0.7713748342311195,2.35882,0.4287569014894277,Stable_Cubic,Zn,1,8,Stable_Cubic
RbZnBr3,5.4,5.4,5.4,2.177,1.72,0.74,1.96,0.82,1.65,2.96,0.49,-0.6,3.36,0.96376035361722,0.3775510204081632,157.46400000000003,4.116971599857744,1.31,0.3775510204081632,1.6447748512965279e-16,0.7470328417420409,2.22034,0.4144499985788031,Stable_Cubic,Zn,1,8,Stable_Cubic
RbZnCl3,5.1,5.1,5.1,2.205,1.72,0.74,1.81,0.82,1.65,3.16,0.49,-0.6,3.61,0.9788576225837304,0.4088397790055249,132.65099999999998,3.215902827720861,1.5100000000000002,0.4088397790055249,0.0,0.7352161877035986,2.1337899999999994,0.4030026154097914,Stable_Cubic,Zn,1,8,Stable_Cubic
RbZnF3,4.347,4.347,10.143000000000002,1.947,1.72,0.74,1.33,0.82,1.65,3.98,0.49,-0.6,3.4,1.0418723104439465,0.556390977443609,191.6662764870001,1.7968523326708383,2.33,0.556390977443609,0.435142634576337,0.2743098519395998,1.85683,0.3432353024312386,Unstable_Hexagonal,Zn,1,8,Unstable_Hexagonal
RbMgI3,5.84,5.84,5.84,2.026,1.72,0.72,2.2,0.82,1.31,2.66,0.49,-0.4,3.06,0.9492666377572828,0.3272727272727272,199.176704,4.08847420228422,1.35,0.3272727272727272,0.0,0.7866613407159179,2.41528,0.4397496947125808,Stable_Cubic,Mg,0,3,Stable_Cubic
RbMgBr3,5.359999999999999,5.359999999999999,5.359999999999999,1.97,1.72,0.72,1.96,0.82,1.31,2.96,0.49,-0.4,3.36,0.970952595062125,0.3673469387755102,153.99065599999994,3.767713516331797,1.65,0.3673469387755102,0.0,0.7630127807006715,2.2768,0.4267491989946365,Stable_Cubic,Mg,0,3,Stable_Cubic
RbMgCl3,5.0600000000000005,5.0600000000000005,5.0600000000000005,1.97,1.72,0.72,1.81,0.82,1.31,3.16,0.49,-0.4,3.61,0.9865956275053408,0.3977900552486187,129.55421600000005,2.767262981237136,1.85,0.3977900552486187,0.0,0.7517564828571983,2.19025,0.4162855395855025,Stable_Cubic,Mg,0,3,Stable_Cubic
RbMgF3,4.305,4.305,10.045,2.112,1.72,0.72,1.33,0.82,1.31,3.98,0.49,-0.4,3.4,1.052036918350717,0.5413533834586466,186.164236125,1.4842477897552195,2.67,0.5413533834586466,0.4351426345763369,0.2816975390169084,1.91329,0.3610532591686937,Unstable_Hexagonal,Mg,0,3,Unstable_Hexagonal
RbCaI3,8.960457131195932,8.960457131195932,12.864,1.806,1.72,1.0,2.2,0.82,1.0,2.66,0.49,0.02,3.06,0.8662058069535206,0.4545454545454545,1032.8478842880004,0.8136718937845664,1.66,0.4545454545454545,0.1793230027965838,0.1542433770450805,2.63884,0.2910438691525026,Metastable,Ca,0,0,Metastable
