formula,rA,rB,rX,chi_A,chi_B,chi_X,tolerance_factor,octahedral_factor,volume,density
MABkBr3,2.17,1.0350000000000001,0.8825000000000001,2.55,1.3,2.96,1.1258250056706174,1.1728045325779037,56.402207875000016,15.27353876721568
MABkCl3,2.17,1.0350000000000001,0.7799999999999999,2.55,1.3,3.16,1.1494655959102404,1.3269230769230773,47.832147,13.380504670983976
MABkF3,2.17,1.0350000000000001,0.705,2.55,1.3,3.98,1.1685281828675478,1.468085106382979,42.14419200000002,13.241346468122249
MABkO3,2.17,1.0350000000000001,1.26,2.55,1.3,3.44,1.0569684419422334,0.8214285714285715,96.70257899999999,5.616247450372945
MABkS3,2.17,1.0350000000000001,0.88,2.55,1.3,2.58,1.1263714957844162,1.1761363636363638,56.181887,11.091477806239672
MABkSe3,2.17,1.0350000000000001,1.0133333333333334,2.55,1.3,2.55,1.0990870097122463,1.0213815789473686,68.75303662962968,12.461392164995093
MACfI3,2.17,1.0255,1.2733333333333334,2.55,1.3,2.66,1.0593078033658094,0.8053664921465968,97.18795512062965,11.341399675936737
MACfBr3,2.17,1.0255,0.8825000000000001,2.55,1.3,2.96,1.1314305284975938,1.1620396600566572,55.56804249600001,15.622353803848137
MACfCl3,2.17,1.0255,0.7799999999999999,2.55,1.3,3.16,1.1555137394500616,1.31474358974359,47.08498813099999,13.733901261309905
MACfF3,2.17,1.0255,0.705,2.55,1.3,3.98,1.1749431021031687,1.4546099290780143,41.45766118100001,13.620839751429886
MACfO3,2.17,1.0255,1.26,2.55,1.3,3.44,1.061361878913772,0.813888888888889,95.50666141099998,5.756121260609068
MACfS3,2.17,1.0255,0.88,2.55,1.3,2.58,1.1319870975739474,1.1653409090909093,55.349900731,11.3782040433697
MACfSe3,2.17,1.0255,1.0133333333333334,2.55,1.3,2.55,1.104208235867204,1.0120065789473685,67.80085382729634,12.734365642352675
FALiI3,2.53,0.9,1.2733333333333334,2.57,0.98,2.66,1.2376237623762376,0.706806282722513,82.12379496296296,8.74966845363678
FALiBr3,2.53,0.9,0.8825000000000001,2.57,0.98,2.96,1.3539222084901334,1.019830028328612,45.30838712500002,10.691445583654495
FALiCl3,2.53,0.9,0.7799999999999999,2.57,0.98,3.16,1.3933791338317505,1.153846153846154,37.93305599999999,6.932452614717137
FALiF3,2.53,0.9,0.705,2.57,0.98,3.98,1.4254429448285284,1.2765957446808511,33.076161,5.472119173255489
FALiO3,2.53,0.9,1.26,2.57,0.98,3.44,1.240897899313741,0.7142857142857143,80.62156800000001,2.0597026796595856
