formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KPbCl3,1.52,1.1225,0.7799999999999999,0.82,2.33,3.16,0.50145913,0.3567212,3.61272528,0.8548465685829484,1.4391025641025643,3.8049999999999997,3.8049999999999997,3.8049999999999997,55.08888512499999,10.630364195256028
KPbF3,1.52,1.1225,0.705,0.82,2.33,3.98,0.50145913,0.3567212,3.401189824,0.8609097609521578,1.592198581560284,3.6550000000000002,3.6550000000000002,3.6550000000000002,48.82723637500001,10.314785986569083
KPbO3,1.52,1.1225,1.26,0.82,2.33,3.44,0.50145913,0.3567212,1.461112979,0.8250815746898644,0.8908730158730159,4.765000000000001,4.765000000000001,4.765000000000001,108.19039712500003,4.517057625930386
KPbS3,1.52,1.1225,0.88,0.82,2.33,2.58,0.50145913,0.3567212,2.07710426,0.8474688014220794,1.2755681818181819,4.005,4.005,4.005,64.24030012499999,8.853271191124362
KSnI3,1.52,0.83,1.2733333333333334,0.82,1.96,2.66,0.50145913,1.1120702,3.059046537,0.9390736650306288,0.6518324607329842,4.206666666666667,4.206666666666667,4.206666666666667,74.44136029629631,12.012908369220836
KSnBr3,1.52,0.83,0.8825000000000001,0.82,1.96,2.96,0.50145913,1.1120702,3.3635883,0.9920140390076965,0.9405099150141641,3.425,3.425,3.425,40.177390624999994,16.42997236008976
KSnCl3,1.52,0.83,0.7799999999999999,0.82,1.96,3.16,0.50145913,1.1120702,3.61272528,1.0101525445522106,1.064102564102564,3.2199999999999998,3.2199999999999998,3.2199999999999998,33.386247999999995,13.1392534821703
KSnF3,1.52,0.83,0.705,0.82,1.96,3.98,0.50145913,1.1120702,3.401189824,1.0249593408078619,1.177304964539007,3.07,3.07,3.07,28.934442999999995,12.327797594893225
KSnO3,1.52,0.83,1.26,0.82,1.96,3.44,0.50145913,1.1120702,1.461112979,0.9405535175591399,0.6587301587301587,4.18,4.18,4.18,73.03463199999999,4.679392670687342
KSnS3,1.52,0.83,0.88,0.82,1.96,2.58,0.50145913,1.1120702,2.07710426,0.9924305700863824,0.9431818181818181,3.42,3.42,3.42,40.001687999999994,10.544361570618575
