formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
CsMnCl3,1.88,0.67,1.81,0.79,1.55,3.16,0.47,-0.52,3.61,1.0521064607170807,0.3701657458563536,4.96,4.96,4.96,122.02393599999999,4.003657221976449
CsMnO3,1.88,0.67,1.4,0.79,1.55,3.44,0.47,-0.52,1.46,1.1204397305757854,0.47857142857142865,4.14,4.14,4.14,70.95794399999998,5.5194284273238505
CsMnF3,1.88,0.67,1.33,0.79,1.55,3.98,0.47,-0.52,3.4,1.1349063838044087,0.5037593984962406,4.0,4.0,4.0,64.0,6.35222932580538
CsFeI3,1.88,0.645,2.2,0.79,1.83,2.66,0.47,0.16,3.05,1.0140582310162087,0.29318181818181815,5.69,5.69,5.69,184.22000900000003,5.133170307101114
CsFeBr3,1.88,0.645,1.96,0.79,1.83,2.96,0.47,0.16,3.36,1.0423378271617436,0.32908163265306123,5.21,5.21,5.21,141.420761,5.0310236906251005
CsFeCl3,1.88,0.645,1.81,0.79,1.83,3.16,0.47,0.16,3.61,1.062820375795666,0.356353591160221,4.91,4.91,4.91,118.370771,4.139984342014595
CsFeO3,1.88,0.645,1.4,0.79,1.83,3.44,0.47,0.16,1.46,1.1341370377955382,0.46071428571428574,4.09,4.09,4.09,68.41792899999999,5.746423852289614
CsFeF3,1.88,0.645,1.33,0.79,1.83,3.98,0.47,0.16,3.4,1.1492722873968695,0.4849624060150376,3.95,3.95,3.95,61.629875000000006,6.621038947804903
CsCoI3,1.88,0.65,2.2,0.79,1.88,2.66,0.47,0.66,3.05,1.0122791814881102,0.2954545454545454,5.7,5.7,5.7,185.193,5.13381855710797
CsCoBr3,1.88,0.65,1.96,0.79,1.88,2.96,0.47,0.66,3.36,1.0403410114008975,0.3316326530612245,5.22,5.22,5.22,142.23664799999997,5.03812335911506
CsCoCl3,1.88,0.65,1.81,0.79,1.88,3.16,0.47,0.66,3.61,1.0606601717798212,0.35911602209944754,4.92,4.92,4.92,119.09548799999999,4.157737011548174
CsCoO3,1.88,0.65,1.4,0.79,1.88,3.44,0.47,0.66,1.46,1.131370849898476,0.46428571428571436,4.1,4.1,4.1,68.92099999999998,5.778688629063035
CsCoF3,1.88,0.65,1.33,0.79,1.88,3.98,0.47,0.66,3.4,1.146370084650918,0.48872180451127817,3.96,3.96,3.96,62.099136,6.653367650673011
CsNiI3,1.88,0.69,2.2,0.79,1.91,2.66,0.47,1.16,3.05,0.9982683969692435,0.3136363636363636,5.78,5.78,5.78,193.10055200000002,4.921522551396081
CsNiBr3,1.88,0.69,1.96,0.79,1.91,2.96,0.47,1.16,3.36,1.02463775085145,0.3520408163265306,5.3,5.3,5.3,148.87699999999998,4.810731275613841
CsNiCl3,1.88,0.69,1.81,0.79,1.91,3.16,0.47,1.16,3.61,1.0436896090313441,0.38121546961325964,5.0,5.0,5.0,125.0,3.958153437396214
CsNiO3,1.88,0.69,1.4,0.79,1.91,3.44,0.47,1.16,1.46,1.1097178192784094,0.4928571428571428,4.18,4.18,4.18,73.03463199999999,5.447750600183605
CsNiF3,1.88,0.69,1.33,0.79,1.91,3.98,0.47,1.16,3.4,1.123669686935058,0.5187969924812029,4.04,4.04,4.04,65.93926400000001,6.25984912275756
CsCuI3,1.88,0.73,2.2,0.79,1.9,2.66,0.47,1.24,3.05,0.9846401594679568,0.3318181818181818,5.86,5.86,5.86,201.23005600000002,4.7628030767789005
CsCuBr3,1.88,0.73,1.96,0.79,1.9,2.96,0.47,1.24,3.36,1.009401501768157,0.37244897959183676,5.38,5.38,5.38,155.72087199999999,4.651127619049811
CsCuCl3,1.88,0.73,1.81,0.79,1.9,3.16,0.47,1.24,3.61,1.0272535521962047,0.4033149171270718,5.08,5.08,5.08,131.09651200000002,3.835644293699328
CsCuO3,1.88,0.73,1.4,0.79,1.9,3.44,0.47,1.24,1.46,1.0888780480243547,0.5214285714285715,4.26,4.26,4.26,77.308776,5.250954546406832
CsCuF3,1.88,0.73,1.33,0.79,1.9,3.98,0.47,1.24,3.4,1.1018508580625328,0.5488721804511277,4.12,4.12,4.12,69.934528,6.0176319829861145
CsZrI3,1.88,0.72,2.2,0.79,1.33,2.66,0.47,0.43,3.05,0.9880122148086007,0.3272727272727272,5.84,5.84,5.84,199.17670399999997,5.042594337876483
CsZrBr3,1.88,0.72,1.96,0.79,1.33,2.96,0.47,0.43,3.36,1.0131679252822174,0.3673469387755102,5.359999999999999,5.359999999999999,5.359999999999999,153.99065599999994,5.0017699683793175
CsZrCl3,1.88,0.72,1.81,0.79,1.33,3.16,0.47,0.43,3.61,1.0313138429163478,0.39779005524861877,5.0600000000000005,5.0600000000000005,5.0600000000000005,129.55421600000003,4.2359700447478685
CsZrO3,1.88,0.72,1.4,0.79,1.33,3.44,0.47,0.43,1.46,1.0940142652320166,0.5142857142857143,4.24,4.24,4.24,76.225024,5.928408219123119
CsZrF3,1.88,0.72,1.33,0.79,1.33,3.98,0.47,0.43,3.4,1.107225740296984,0.5413533834586466,4.1,4.1,4.1,68.92099999999998,6.772804259629833
RbPbI3,1.72,1.19,2.2,0.82,2.33,2.66,0.49,0.36,3.05,0.8176573988941788,0.5409090909090909,6.78,6.78,6.78,311.66575200000005,3.5877645221605023
RbPbBr3,1.72,1.19,1.96,0.82,2.33,2.96,0.49,0.36,3.36,0.8260803031004745,0.6071428571428571,6.3,6.3,6.3,250.04699999999997,3.5355027117406084
