material_id,formula,bandgap,elements,num_elements
mp-996970,AgBiO2,1.2491,"[Element Ag, Element Bi, Element O]",3
mp-996982,AgBiO2,0.956399999999999,"[Element Ag, Element Bi, Element O]",3
mp-1172905,AgBiS2,0.491799999999999,"[Element Ag, Element Bi, Element S]",3
mp-1173060,AgBiS2,0.23040000000000002,"[Element Ag, Element Bi, Element S]",3
mp-29678,AgBiS2,0.5212,"[Element Ag, Element Bi, Element S]",3
mp-675977,AgBiS2,0.316899999999999,"[Element Ag, Element Bi, Element S]",3
mp-1183002,AgBiSe2,0.26180000000000003,"[Element Ag, Element Bi, Element Se]",3
mp-27916,AgBiSe2,0.23409999999999903,"[Element Ag, Element Bi, Element Se]",3
mp-997048,AgBrO2,0.2785,"[Element Ag, Element Br, Element O]",3
mp-1178562,AgBrO3,2.383,"[Element Ag, Element Br, Element O]",3
mp-755991,AgBrO4,0.9302999999999991,"[Element Ag, Element Br, Element O]",3
mp-756139,AgBrO4,0.6649,"[Element Ag, Element Br, Element O]",3
mp-756342,AgBrO4,0.8743000000000001,"[Element Ag, Element Br, Element O]",3
mp-1182983,AgC2N3,0.5987,"[Element Ag, Element C, Element N]",3
mp-1182994,AgC2N3,2.3612,"[Element Ag, Element C, Element N]",3
mp-567459,AgC2N3,3.7361,"[Element Ag, Element C, Element N]",3
mp-616521,AgC2N3,3.577499999999999,"[Element Ag, Element C, Element N]",3
mp-29672,AgC4N3,3.4634,"[Element Ag, Element C, Element N]",3
mp-9519,AgCN,3.6601,"[Element Ag, Element C, Element N]",3
mp-1182953,AgCO2,1.976,"[Element Ag, Element C, Element O]",3
mp-5282,AgCO2,2.3498,"[Element Ag, Element C, Element O]",3
mp-1079156,AgClO2,0.9151,"[Element Ag, Element Cl, Element O]",3
mp-22959,AgClO2,0.9630000000000001,"[Element Ag, Element Cl, Element O]",3
mp-552169,AgClO2,0.911899999999999,"[Element Ag, Element Cl, Element O]",3
mp-997016,AgClO2,0.864699999999999,"[Element Ag, Element Cl, Element O]",3
mp-1178561,AgClO3,2.7117,"[Element Ag, Element Cl, Element O]",3
mp-27941,AgClO3,2.3983,"[Element Ag, Element Cl, Element O]",3
mp-775761,AgClO3,3.1001,"[Element Ag, Element Cl, Element O]",3
mp-776199,AgClO3,3.113099999999999,"[Element Ag, Element Cl, Element O]",3
mp-1101933,AgClO4,2.8481,"[Element Ag, Element Cl, Element O]",3
mp-1191267,AgClO4,2.6793,"[Element Ag, Element Cl, Element O]",3
mp-22993,AgClO4,2.3558,"[Element Ag, Element Cl, Element O]",3
mp-2903321,AgClO4,3.2945,"[Element Ag, Element Cl, Element O]",3
mp-551758,AgClO4,2.3744,"[Element Ag, Element Cl, Element O]",3
mp-1245460,AgGe2N3,0.5654,"[Element Ag, Element Ge, Element N]",3
mp-1246590,AgGe2N3,0.746599999999999,"[Element Ag, Element Ge, Element N]",3
mp-769355,AgH3O2,1.396399999999999,"[Element Ag, Element H, Element O]",3
mp-769295,AgH8O5,0.291799999999999,"[Element Ag, Element H, Element O]",3
mp-769296,AgH9O5,2.4145,"[Element Ag, Element H, Element O]",3
mp-1194592,AgI3O8,2.2937,"[Element Ag, Element I, Element O]",3
mp-1195485,AgI3O8,2.279,"[Element Ag, Element I, Element O]",3
mp-1202188,AgIO3,1.806899999999999,"[Element Ag, Element I, Element O]",3
mp-27384,AgIO3,2.4375,"[Element Ag, Element I, Element O]",3
mp-849271,AgIO3,1.9765000000000001,"[Element Ag, Element I, Element O]",3
mp-30037,AgIO4,0.11079999999999901,"[Element Ag, Element I, Element O]",3
mp-680482,AgMo6Br13,2.0242,"[Element Ag, Element Br, Element Mo]",3
mp-1214988,AgMo6Cl13,2.3227,"[Element Ag, Element Cl, Element Mo]",3
mp-644729,AgN3O4,1.979299999999999,"[Element Ag, Element N, Element O]",3
mp-5770,AgNO2,1.7868,"[Element Ag, Element N, Element O]",3
mp-996960,AgNO2,1.4382000000000001,"[Element Ag, Element N, Element O]",3
mp-552185,AgNO3,1.853899999999999,"[Element Ag, Element N, Element O]",3
mp-638686,AgNO3,2.008899999999999,"[Element Ag, Element N, Element O]",3
mp-669466,AgNO3,2.0027,"[Element Ag, Element N, Element O]",3
mp-8196,AgNO3,1.7204000000000002,"[Element Ag, Element N, Element O]",3
mp-997028,AgO2F,0.49610000000000004,"[Element Ag, Element F, Element O]",3
mp-34418,AgPF6,3.2361,"[Element Ag, Element F, Element P]",3
mp-18702,AgPO3,2.0232,"[Element Ag, Element O, Element P]",3
mp-775762,AgPO3,2.287,"[Element Ag, Element O, Element P]",3
mp-5470,AgPS3,1.3228,"[Element Ag, Element P, Element S]",3
mp-621612,AgPb2Br5,1.9341,"[Element Ag, Element Br, Element Pb]",3
mp-1206101,AgPbF6,0.21799999999999903,"[Element Ag, Element F, Element Pb]",3
mp-997021,AgPbO2,0.142799999999999,"[Element Ag, Element O, Element Pb]",3
mp-1097539,AgPd2Pb,0.6372,"[Element Ag, Element Pb, Element Pd]",3
mp-997006,AgPtO2,0.38709999999999906,"[Element Ag, Element O, Element Pt]",3
mp-1018033,AgRhO2,0.621799999999999,"[Element Ag, Element O, Element Rh]",3
